Year,Month,Day,Hour,Minute,Second,HYY_META.WDU336
2011,01,01,00,00,00,162.33333
2011,01,01,00,30,00,150.86957
2011,01,01,01,00,00,158
2011,01,01,01,30,00,143.875
2011,01,01,02,00,00,142.66667
2011,01,01,02,30,00,140.31034
2011,01,01,03,00,00,139.62069
2011,01,01,03,30,00,138.17241
2011,01,01,04,00,00,129.2
2011,01,01,04,30,00,125.5
2011,01,01,05,00,00,123.4
2011,01,01,05,30,00,117.3
2011,01,01,06,00,00,114.36667
2011,01,01,06,30,00,114.7
2011,01,01,07,00,00,111.16667
2011,01,01,07,30,00,112.73333
2011,01,01,08,00,00,115.3
2011,01,01,08,30,00,118.13333
2011,01,01,09,00,00,110.9
2011,01,01,09,30,00,103.96667
2011,01,01,10,00,00,104.63333
2011,01,01,10,30,00,97.9
2011,01,01,11,00,00,92.93333
2011,01,01,11,30,00,94.53333
2011,01,01,12,00,00,88.36667
2011,01,01,12,30,00,83.26667
2011,01,01,13,00,00,85.6
2011,01,01,13,30,00,87.06667
2011,01,01,14,00,00,77.83333
2011,01,01,14,30,00,64.26667
2011,01,01,15,00,00,65.93333
2011,01,01,15,30,00,70.86667
2011,01,01,16,00,00,74.4
2011,01,01,16,30,00,79.96667
2011,01,01,17,00,00,77.16667
2011,01,01,17,30,00,57.43333
2011,01,01,18,00,00,61.46667
2011,01,01,18,30,00,53.26667
2011,01,01,19,00,00,42
2011,01,01,19,30,00,42.13333
2011,01,01,20,00,00,52.56667
2011,01,01,20,30,00,63.9
2011,01,01,21,00,00,72.53333
2011,01,01,21,30,00,53.26667
2011,01,01,22,00,00,53.26667
2011,01,01,22,30,00,51.31034
2011,01,01,23,00,00,52.2
2011,01,01,23,30,00,45.7
2011,01,02,00,00,00,62.23333
2011,01,02,00,30,00,64.2
2011,01,02,01,00,00,77.7
2011,01,02,01,30,00,66.06667
2011,01,02,02,00,00,63.73333
2011,01,02,02,30,00,67.56667
2011,01,02,03,00,00,64.23333
2011,01,02,03,30,00,41.9
2011,01,02,04,00,00,33.43333
2011,01,02,04,30,00,304.2
2011,01,02,05,00,00,130.63333
2011,01,02,05,30,00,58.73333
2011,01,02,06,00,00,36.4
2011,01,02,06,30,00,49.9
2011,01,02,07,00,00,37.33333
2011,01,02,07,30,00,105.76667
2011,01,02,08,00,00,107.5
2011,01,02,08,30,00,231.7
2011,01,02,09,00,00,88.82759
2011,01,02,09,30,00,87.2
2011,01,02,10,00,00,81.16667
2011,01,02,10,30,00,15.56667
2011,01,02,11,00,00,153.53333
2011,01,02,11,30,00,57.83333
2011,01,02,12,00,00,142.36667
2011,01,02,12,30,00,87.93333
2011,01,02,13,00,00,182.14286
2011,01,02,13,30,00,214.32143
2011,01,02,14,00,00,128.13333
2011,01,02,14,30,00,143.63333
2011,01,02,15,00,00,249.76667
2011,01,02,15,30,00,252.56667
2011,01,02,16,00,00,288.46667
2011,01,02,16,30,00,292.86667
2011,01,02,17,00,00,297.6
2011,01,02,17,30,00,279.23333
2011,01,02,18,00,00,287.4
2011,01,02,18,30,00,279.56667
2011,01,02,19,00,00,282.16667
2011,01,02,19,30,00,288.7
2011,01,02,20,00,00,288.03333
2011,01,02,20,30,00,297.13333
2011,01,02,21,00,00,296.46667
2011,01,02,21,30,00,295
2011,01,02,22,00,00,296.13333
2011,01,02,22,30,00,291.8
2011,01,02,23,00,00,301.1
2011,01,02,23,30,00,309.1
2011,01,03,00,00,00,311.43333
2011,01,03,00,30,00,308.46667
2011,01,03,01,00,00,301.26667
2011,01,03,01,30,00,310.43333
2011,01,03,02,00,00,325
2011,01,03,02,30,00,327.2
2011,01,03,03,00,00,316.06667
2011,01,03,03,30,00,313.43333
2011,01,03,04,00,00,302.6
2011,01,03,04,30,00,303.33333
2011,01,03,05,00,00,306.13333
2011,01,03,05,30,00,315
2011,01,03,06,00,00,316.6
2011,01,03,06,30,00,311.83333
2011,01,03,07,00,00,315.96667
2011,01,03,07,30,00,294.43333
2011,01,03,08,00,00,287.4
2011,01,03,08,30,00,294.23333
2011,01,03,09,00,00,297.46667
2011,01,03,09,30,00,283.8
2011,01,03,10,00,00,292.56667
2011,01,03,10,30,00,291.33333
2011,01,03,11,00,00,295.36667
2011,01,03,11,30,00,285.46667
2011,01,03,12,00,00,282.56667
2011,01,03,12,30,00,272.36667
2011,01,03,13,00,00,277.23333
2011,01,03,13,30,00,278.5
2011,01,03,14,00,00,282.06667
2011,01,03,14,30,00,281.9
2011,01,03,15,00,00,278.7
2011,01,03,15,30,00,252.53333
2011,01,03,16,00,00,230.7
2011,01,03,16,30,00,232.16667
2011,01,03,17,00,00,254.06667
2011,01,03,17,30,00,267.63333
2011,01,03,18,00,00,253.7
2011,01,03,18,30,00,272
2011,01,03,19,00,00,278.16667
2011,01,03,19,30,00,266.93333
2011,01,03,20,00,00,221.77778
2011,01,03,20,30,00,215
2011,01,03,21,00,00,219.94737
2011,01,03,21,30,00,121.4
2011,01,03,22,00,00,168.71429
2011,01,03,22,30,00,195.94444
2011,01,03,23,00,00,195.88
2011,01,03,23,30,00,207.06667
2011,01,04,00,00,00,213.56667
2011,01,04,00,30,00,242.93103
2011,01,04,01,00,00,290.16667
2011,01,04,01,30,00,229.03448
2011,01,04,02,00,00,239.56
2011,01,04,02,30,00,71.66667
2011,01,04,03,00,00,214.0625
2011,01,04,03,30,00,196.375
2011,01,04,04,00,00,218.66667
2011,01,04,04,30,00,244.125
2011,01,04,05,00,00,118
2011,01,04,05,30,00,113.24138
2011,01,04,06,00,00,121.46667
2011,01,04,06,30,00,133.5
2011,01,04,07,00,00,104.66667
2011,01,04,07,30,00,110.33333
2011,01,04,08,00,00,127
2011,01,04,08,30,00,130.76667
2011,01,04,09,00,00,184.60714
2011,01,04,09,30,00,150.21429
2011,01,04,10,00,00,162
2011,01,04,10,30,00,151.96296
2011,01,04,11,00,00,176.77778
2011,01,04,11,30,00,229.93103
2011,01,04,12,00,00,124.35
2011,01,04,12,30,00,75.3
2011,01,04,13,00,00,79.06667
2011,01,04,13,30,00,79.83333
2011,01,04,14,00,00,74.33333
2011,01,04,14,30,00,60.1
2011,01,04,15,00,00,66.86667
2011,01,04,15,30,00,69
2011,01,04,16,00,00,73.43333
2011,01,04,16,30,00,67.43333
2011,01,04,17,00,00,80.96667
2011,01,04,17,30,00,82.9
