Year,Month,Day,Hour,Minute,Second,HYY_META.SO2168
2018,01,01,00,00,00,0.03267
2018,01,01,00,30,00,0.036
2018,01,01,01,00,00,0.08167
2018,01,01,01,30,00,0.04167
2018,01,01,02,00,00,0.01067
2018,01,01,02,30,00,0.011
2018,01,01,03,00,00,0.004
2018,01,01,03,30,00,0.045
2018,01,01,04,00,00,0.071
2018,01,01,04,30,00,0.18767
2018,01,01,05,00,00,0.133
2018,01,01,05,30,00,0.01767
2018,01,01,06,00,00,0.04233
2018,01,01,06,30,00,0.01833
2018,01,01,07,00,00,0.06233
2018,01,01,07,30,00,0.02867
2018,01,01,08,00,00,0.03333
2018,01,01,08,30,00,0.08933
2018,01,01,09,00,00,0.07233
2018,01,01,09,30,00,0.02867
2018,01,01,10,00,00,0.065
2018,01,01,10,30,00,0.05867
2018,01,01,11,00,00,0.07233
2018,01,01,11,30,00,0.06833
2018,01,01,12,00,00,0.065
2018,01,01,12,30,00,0.052
2018,01,01,13,00,00,0.08
2018,01,01,13,30,00,0.066
2018,01,01,14,00,00,0.07867
2018,01,01,14,30,00,0.06433
2018,01,01,15,00,00,0.05467
2018,01,01,15,30,00,0.06033
2018,01,01,16,00,00,0.049
2018,01,01,16,30,00,0.07867
2018,01,01,17,00,00,0.07167
2018,01,01,17,30,00,0.08233
2018,01,01,18,00,00,0.06933
2018,01,01,18,30,00,0.13133
2018,01,01,19,00,00,0.10833
2018,01,01,19,30,00,0.01333
2018,01,01,20,00,00,0.01533
2018,01,01,20,30,00,0.00233
2018,01,01,21,00,00,0.00833
2018,01,01,21,30,00,-0.00767
2018,01,01,22,00,00,-0.00867
2018,01,01,22,30,00,-0.006
2018,01,01,23,00,00,-0.01667
2018,01,01,23,30,00,-0.00567
2018,01,02,00,00,00,0.009
2018,01,02,00,30,00,0.037
2018,01,02,01,00,00,0.044
2018,01,02,01,30,00,0.01433
2018,01,02,02,00,00,0.041
2018,01,02,02,30,00,0.02
2018,01,02,03,00,00,0.058
2018,01,02,03,30,00,0.04167
2018,01,02,04,00,00,0.031
2018,01,02,04,30,00,0.012
2018,01,02,05,00,00,0.07467
2018,01,02,05,30,00,0.07333
2018,01,02,06,00,00,0.03767
2018,01,02,06,30,00,0.039
2018,01,02,07,00,00,0.00867
2018,01,02,07,30,00,0.03833
2018,01,02,08,00,00,0.01967
2018,01,02,08,30,00,0.00533
2018,01,02,09,00,00,0.00033
2018,01,02,09,30,00,0.01467
2018,01,02,10,00,00,0.03333
2018,01,02,10,30,00,NaN
2018,01,02,11,00,00,NaN
2018,01,02,11,30,00,NaN
2018,01,02,12,00,00,NaN
2018,01,02,12,30,00,0.04533
2018,01,02,13,00,00,0.02967
2018,01,02,13,30,00,0.08
2018,01,02,14,00,00,0.06
2018,01,02,14,30,00,0.019
2018,01,02,15,00,00,0.04033
2018,01,02,15,30,00,0.02133
2018,01,02,16,00,00,0.06067
2018,01,02,16,30,00,0.03233
2018,01,02,17,00,00,0.05867
2018,01,02,17,30,00,0.08133
2018,01,02,18,00,00,0.059
2018,01,02,18,30,00,0.012
2018,01,02,19,00,00,0.01333
2018,01,02,19,30,00,-0.008
2018,01,02,20,00,00,0.00967
2018,01,02,20,30,00,0.02033
2018,01,02,21,00,00,-0.01067
2018,01,02,21,30,00,-0.00767
2018,01,02,22,00,00,-0.00167
2018,01,02,22,30,00,-0.00867
2018,01,02,23,00,00,0.02133
2018,01,02,23,30,00,0.009
2018,01,03,00,00,00,0.027
2018,01,03,00,30,00,-0.00467
2018,01,03,01,00,00,0.008
2018,01,03,01,30,00,0.02967
2018,01,03,02,00,00,0.02233
2018,01,03,02,30,00,0.01467
2018,01,03,03,00,00,0.025
2018,01,03,03,30,00,0.02333
2018,01,03,04,00,00,0.01933
2018,01,03,04,30,00,0.01367
2018,01,03,05,00,00,-0.01033
2018,01,03,05,30,00,0.00967
2018,01,03,06,00,00,0.01267
2018,01,03,06,30,00,0.03167
2018,01,03,07,00,00,-0.001
2018,01,03,07,30,00,0.03667
2018,01,03,08,00,00,0.00833
2018,01,03,08,30,00,0.011
2018,01,03,09,00,00,0.02733
2018,01,03,09,30,00,0.011
2018,01,03,10,00,00,0.01233
2018,01,03,10,30,00,-0.00367
2018,01,03,11,00,00,0.00933
2018,01,03,11,30,00,0.02867
2018,01,03,12,00,00,0.001
