Year,Month,Day,Hour,Minute,Second,HYY_META.UV_B
2022,01,01,00,00,00,0.00084
2022,01,01,00,30,00,0.00042
2022,01,01,01,00,00,0.00048
2022,01,01,01,30,00,0.00037
2022,01,01,02,00,00,0.00077
2022,01,01,02,30,00,0.00062
2022,01,01,03,00,00,0.00083
2022,01,01,03,30,00,0.00056
2022,01,01,04,00,00,0.00032
2022,01,01,04,30,00,0.00022
2022,01,01,05,00,00,0.00037
2022,01,01,05,30,00,0.00017
2022,01,01,06,00,00,0.00006
2022,01,01,06,30,00,-0.00062
2022,01,01,07,00,00,-0.00072
2022,01,01,07,30,00,-0.00063
2022,01,01,08,00,00,-0.00094
2022,01,01,08,30,00,-0.00051
2022,01,01,09,00,00,0.00046
2022,01,01,09,30,00,0.00318
2022,01,01,10,00,00,0.00698
2022,01,01,10,30,00,0.01232
2022,01,01,11,00,00,0.01581
2022,01,01,11,30,00,0.01499
2022,01,01,12,00,00,0.01533
2022,01,01,12,30,00,0.01591
2022,01,01,13,00,00,0.01309
2022,01,01,13,30,00,0.01158
2022,01,01,14,00,00,0.00852
2022,01,01,14,30,00,0.00489
2022,01,01,15,00,00,0.00208
2022,01,01,15,30,00,0.00076
2022,01,01,16,00,00,-0.00076
2022,01,01,16,30,00,-0.00041
2022,01,01,17,00,00,0.00001
2022,01,01,17,30,00,-0.00032
2022,01,01,18,00,00,-0.0005
2022,01,01,18,30,00,-0.00004
2022,01,01,19,00,00,-0.00025
2022,01,01,19,30,00,0.00022
2022,01,01,20,00,00,-0.00005
2022,01,01,20,30,00,-0.00048
2022,01,01,21,00,00,-0.00033
2022,01,01,21,30,00,-0.00096
2022,01,01,22,00,00,-0.00057
2022,01,01,22,30,00,-0.00029
2022,01,01,23,00,00,-0.00149
2022,01,01,23,30,00,-0.00121
2022,01,02,00,00,00,-0.00119
2022,01,02,00,30,00,-0.00093
2022,01,02,01,00,00,-0.00076
2022,01,02,01,30,00,-0.00029
2022,01,02,02,00,00,-0.00013
2022,01,02,02,30,00,-0.00002
2022,01,02,03,00,00,-0.00018
2022,01,02,03,30,00,-0.00053
2022,01,02,04,00,00,-0.00044
2022,01,02,04,30,00,-0.00133
2022,01,02,05,00,00,-0.0005
2022,01,02,05,30,00,-0.00112
2022,01,02,06,00,00,-0.00034
2022,01,02,06,30,00,-0.00034
2022,01,02,07,00,00,-0.00024
2022,01,02,07,30,00,-0.00035
2022,01,02,08,00,00,-0.00042
2022,01,02,08,30,00,-0.00028
2022,01,02,09,00,00,0.00027
2022,01,02,09,30,00,0.00132
2022,01,02,10,00,00,0.0033
2022,01,02,10,30,00,0.00609
2022,01,02,11,00,00,0.01081
2022,01,02,11,30,00,0.01587
2022,01,02,12,00,00,0.02122
2022,01,02,12,30,00,0.02163
2022,01,02,13,00,00,0.01702
2022,01,02,13,30,00,0.01057
2022,01,02,14,00,00,0.00791
2022,01,02,14,30,00,0.0048
2022,01,02,15,00,00,0.0016
2022,01,02,15,30,00,0.00113
2022,01,02,16,00,00,-0.00021
2022,01,02,16,30,00,0.0005
2022,01,02,17,00,00,0.00053
2022,01,02,17,30,00,0.00052
2022,01,02,18,00,00,0.00059
2022,01,02,18,30,00,0.00072
2022,01,02,19,00,00,0.00062
2022,01,02,19,30,00,0.00101
2022,01,02,20,00,00,0.00055
2022,01,02,20,30,00,0.00091
2022,01,02,21,00,00,0.00047
2022,01,02,21,30,00,0.0006
2022,01,02,22,00,00,0.00047
2022,01,02,22,30,00,0.00045
2022,01,02,23,00,00,0.00092
2022,01,02,23,30,00,0.00091
2022,01,03,00,00,00,0.00076
2022,01,03,00,30,00,0.00057
2022,01,03,01,00,00,0.00059
2022,01,03,01,30,00,0.00068
2022,01,03,02,00,00,0.00074
2022,01,03,02,30,00,0.00074
2022,01,03,03,00,00,0.00055
2022,01,03,03,30,00,0.00068
2022,01,03,04,00,00,0.00055
2022,01,03,04,30,00,0.00057
2022,01,03,05,00,00,0.00017
2022,01,03,05,30,00,0.00036
2022,01,03,06,00,00,0.00032
2022,01,03,06,30,00,0.00018
2022,01,03,07,00,00,0.00076
2022,01,03,07,30,00,0.00037
2022,01,03,08,00,00,0.00009
2022,01,03,08,30,00,0.00026
2022,01,03,09,00,00,0.00079
2022,01,03,09,30,00,0.0022
2022,01,03,10,00,00,0.00487
2022,01,03,10,30,00,0.00681
2022,01,03,11,00,00,0.01012
2022,01,03,11,30,00,0.01209
2022,01,03,12,00,00,0.01267
2022,01,03,12,30,00,0.01313
2022,01,03,13,00,00,0.0119
2022,01,03,13,30,00,0.00961
2022,01,03,14,00,00,0.00684
2022,01,03,14,30,00,0.00411
2022,01,03,15,00,00,0.00159
2022,01,03,15,30,00,0.00054
2022,01,03,16,00,00,0.00032
2022,01,03,16,30,00,0.00001
2022,01,03,17,00,00,0.00047
2022,01,03,17,30,00,-0.00039
2022,01,03,18,00,00,-0.00009
2022,01,03,18,30,00,-0.00025
2022,01,03,19,00,00,-0.00044
2022,01,03,19,30,00,0.00022
2022,01,03,20,00,00,-0
2022,01,03,20,30,00,-0.00016
2022,01,03,21,00,00,0.00015
2022,01,03,21,30,00,0.00042
2022,01,03,22,00,00,0.00003
2022,01,03,22,30,00,0.00012
2022,01,03,23,00,00,0.00006
2022,01,03,23,30,00,-0.0003
