Year,Month,Day,Hour,Minute,Second,HYY_META.WDU336
2022,01,01,00,00,00,320.81201
2022,01,01,00,30,00,323.80259
2022,01,01,01,00,00,340.72419
2022,01,01,01,30,00,289.18963
2022,01,01,02,00,00,290.16005
2022,01,01,02,30,00,334.22308
2022,01,01,03,00,00,329.98607
2022,01,01,03,30,00,156.73079
2022,01,01,04,00,00,155.84225
2022,01,01,04,30,00,300.73212
2022,01,01,05,00,00,268.57259
2022,01,01,05,30,00,340.60487
2022,01,01,06,00,00,332.86021
2022,01,01,06,30,00,335.11052
2022,01,01,07,00,00,339.93452
2022,01,01,07,30,00,336.59646
2022,01,01,08,00,00,333.13289
2022,01,01,08,30,00,335.32437
2022,01,01,09,00,00,336.47764
2022,01,01,09,30,00,331.51688
2022,01,01,10,00,00,344.52933
2022,01,01,10,30,00,337.79386
2022,01,01,11,00,00,331.26261
2022,01,01,11,30,00,329.92341
2022,01,01,12,00,00,322.37528
2022,01,01,12,30,00,326.70133
2022,01,01,13,00,00,331.16352
2022,01,01,13,30,00,323.37324
2022,01,01,14,00,00,327.89618
2022,01,01,14,30,00,325.08442
2022,01,01,15,00,00,324.57662
2022,01,01,15,30,00,320.57539
2022,01,01,16,00,00,318.49503
2022,01,01,16,30,00,312.72812
2022,01,01,17,00,00,316.8776
2022,01,01,17,30,00,313.82211
2022,01,01,18,00,00,316.10237
2022,01,01,18,30,00,313.2554
2022,01,01,19,00,00,310.58365
2022,01,01,19,30,00,321.78963
2022,01,01,20,00,00,322.51933
2022,01,01,20,30,00,327.37395
2022,01,01,21,00,00,328.12172
2022,01,01,21,30,00,302.70578
2022,01,01,22,00,00,301.42786
2022,01,01,22,30,00,278.74202
2022,01,01,23,00,00,272.4307
2022,01,01,23,30,00,271.56851
2022,01,02,00,00,00,254.36674
2022,01,02,00,30,00,265.90906
2022,01,02,01,00,00,280.45717
2022,01,02,01,30,00,278.23536
2022,01,02,02,00,00,269.28281
2022,01,02,02,30,00,248.64121
2022,01,02,03,00,00,232.09928
2022,01,02,03,30,00,297.09505
2022,01,02,04,00,00,230.07803
2022,01,02,04,30,00,225.06845
2022,01,02,05,00,00,197.49201
2022,01,02,05,30,00,242.68457
2022,01,02,06,00,00,243.30995
2022,01,02,06,30,00,243.96371
2022,01,02,07,00,00,177.32069
2022,01,02,07,30,00,160.43576
2022,01,02,08,00,00,170.49877
2022,01,02,08,30,00,164.84434
2022,01,02,09,00,00,167.63919
2022,01,02,09,30,00,170.22407
2022,01,02,10,00,00,155.40495
2022,01,02,10,30,00,141.55194
2022,01,02,11,00,00,140.36047
2022,01,02,11,30,00,141.48368
2022,01,02,12,00,00,139.51257
2022,01,02,12,30,00,139.23488
2022,01,02,13,00,00,139.12313
2022,01,02,13,30,00,145.01776
2022,01,02,14,00,00,144.65745
2022,01,02,14,30,00,143.9421
2022,01,02,15,00,00,144.6946
2022,01,02,15,30,00,145.75048
2022,01,02,16,00,00,143.31636
2022,01,02,16,30,00,140.6917
2022,01,02,17,00,00,142.14127
2022,01,02,17,30,00,143.41984
2022,01,02,18,00,00,143.73075
2022,01,02,18,30,00,140.43777
2022,01,02,19,00,00,136.59373
2022,01,02,19,30,00,135.19297
2022,01,02,20,00,00,133.4738
2022,01,02,20,30,00,132.35765
2022,01,02,21,00,00,133.38265
2022,01,02,21,30,00,134.77071
2022,01,02,22,00,00,133.70255
2022,01,02,22,30,00,134.69731
2022,01,02,23,00,00,132.64346
2022,01,02,23,30,00,135.59818
2022,01,03,00,00,00,132.12817
2022,01,03,00,30,00,129.86696
2022,01,03,01,00,00,132.78319
2022,01,03,01,30,00,135.23932
2022,01,03,02,00,00,136.48354
2022,01,03,02,30,00,139.02805
2022,01,03,03,00,00,133.62653
2022,01,03,03,30,00,131.17645
2022,01,03,04,00,00,129.2658
2022,01,03,04,30,00,128.11241
2022,01,03,05,00,00,125.69217
2022,01,03,05,30,00,122.50889
2022,01,03,06,00,00,126.50131
2022,01,03,06,30,00,130.25088
2022,01,03,07,00,00,127.35413
2022,01,03,07,30,00,130.7404
2022,01,03,08,00,00,127.88813
2022,01,03,08,30,00,126.05379
2022,01,03,09,00,00,126.89448
2022,01,03,09,30,00,124.80106
2022,01,03,10,00,00,125.82729
2022,01,03,10,30,00,128.28325
2022,01,03,11,00,00,131.31974
2022,01,03,11,30,00,127.96032
2022,01,03,12,00,00,126.05163
2022,01,03,12,30,00,127.77737
2022,01,03,13,00,00,128.82678
2022,01,03,13,30,00,130.80663
2022,01,03,14,00,00,132.56332
2022,01,03,14,30,00,128.29675
2022,01,03,15,00,00,131.97585
2022,01,03,15,30,00,125.57001
2022,01,03,16,00,00,128.87559
2022,01,03,16,30,00,130.79963
2022,01,03,17,00,00,131.80939
2022,01,03,17,30,00,131.26947
2022,01,03,18,00,00,134.57713
2022,01,03,18,30,00,132.73137
2022,01,03,19,00,00,132.38499
2022,01,03,19,30,00,133.4355
2022,01,03,20,00,00,131.37297
2022,01,03,20,30,00,130.65477
2022,01,03,21,00,00,128.66017
2022,01,03,21,30,00,125.13734
2022,01,03,22,00,00,129.56092
2022,01,03,22,30,00,129.32446
2022,01,03,23,00,00,129.03765
2022,01,03,23,30,00,127.61232
2022,01,04,00,00,00,131.22713
2022,01,04,00,30,00,128.13762
2022,01,04,01,00,00,132.17268
2022,01,04,01,30,00,134.57885
2022,01,04,02,00,00,131.24819
2022,01,04,02,30,00,131.53938
2022,01,04,03,00,00,132.36109
2022,01,04,03,30,00,126.0629
2022,01,04,04,00,00,125.63014
2022,01,04,04,30,00,129.82385
2022,01,04,05,00,00,129.03845
2022,01,04,05,30,00,128.53731
2022,01,04,06,00,00,123.45399
2022,01,04,06,30,00,129.40626
2022,01,04,07,00,00,131.37033
2022,01,04,07,30,00,128.45156
2022,01,04,08,00,00,127.93468
2022,01,04,08,30,00,128.36666
2022,01,04,09,00,00,126.32953
2022,01,04,09,30,00,126.5393
2022,01,04,10,00,00,126.60491
2022,01,04,10,30,00,127.85998
2022,01,04,11,00,00,128.63115
2022,01,04,11,30,00,129.92289
2022,01,04,12,00,00,131.44905
2022,01,04,12,30,00,132.89493
2022,01,04,13,00,00,132.14383
2022,01,04,13,30,00,133.38029
2022,01,04,14,00,00,136.49762
2022,01,04,14,30,00,136.21433
2022,01,04,15,00,00,139.62816
2022,01,04,15,30,00,136.90965
2022,01,04,16,00,00,138.46368
2022,01,04,16,30,00,141.55033
2022,01,04,17,00,00,142.2771
2022,01,04,17,30,00,146.553
2022,01,04,18,00,00,143.941
2022,01,04,18,30,00,162.57043
2022,01,04,19,00,00,165.41096
2022,01,04,19,30,00,209.5534
2022,01,04,20,00,00,250.4941
2022,01,04,20,30,00,230.97759
2022,01,04,21,00,00,273.55011
2022,01,04,21,30,00,189.6247
2022,01,04,22,00,00,186.67756
2022,01,04,22,30,00,204.0393
2022,01,04,23,00,00,251.6866
2022,01,04,23,30,00,264.56224
2022,01,05,00,00,00,171.17338
2022,01,05,00,30,00,166.82274
2022,01,05,01,00,00,164.53839
2022,01,05,01,30,00,198.14432
2022,01,05,02,00,00,174.84667
2022,01,05,02,30,00,167.85923
2022,01,05,03,00,00,176.39046
2022,01,05,03,30,00,165.55579
2022,01,05,04,00,00,197.21952
2022,01,05,04,30,00,183.307
2022,01,05,05,00,00,180.19537
2022,01,05,05,30,00,175.55963
2022,01,05,06,00,00,184.12051
2022,01,05,06,30,00,211.82571
2022,01,05,07,00,00,201.70634
2022,01,05,07,30,00,229.2717
2022,01,05,08,00,00,216.29392
2022,01,05,08,30,00,227.34456
2022,01,05,09,00,00,221.3996
2022,01,05,09,30,00,229.86883
2022,01,05,10,00,00,204.20646
2022,01,05,10,30,00,180.86801
2022,01,05,11,00,00,180.96897
2022,01,05,11,30,00,162.83074
2022,01,05,12,00,00,174.3913
