Year,Month,Day,Hour,Minute,Second,HYY_META.WSU336
2022,01,01,00,00,00,2.44472
2022,01,01,00,30,00,3.18111
2022,01,01,01,00,00,4.40233
2022,01,01,01,30,00,4.25106
2022,01,01,02,00,00,3.55344
2022,01,01,02,30,00,3.26356
2022,01,01,03,00,00,3.01256
2022,01,01,03,30,00,4.46289
2022,01,01,04,00,00,3.31961
2022,01,01,04,30,00,3.94761
2022,01,01,05,00,00,4.05806
2022,01,01,05,30,00,3.55167
2022,01,01,06,00,00,3.56333
2022,01,01,06,30,00,3.60967
2022,01,01,07,00,00,3.87439
2022,01,01,07,30,00,3.85167
2022,01,01,08,00,00,3.69617
2022,01,01,08,30,00,4.11222
2022,01,01,09,00,00,4.14478
2022,01,01,09,30,00,4.26528
2022,01,01,10,00,00,4.51128
2022,01,01,10,30,00,4.19161
2022,01,01,11,00,00,4.12067
2022,01,01,11,30,00,5.07972
2022,01,01,12,00,00,4.60311
2022,01,01,12,30,00,4.33133
2022,01,01,13,00,00,4.57606
2022,01,01,13,30,00,4.33506
2022,01,01,14,00,00,4.4005
2022,01,01,14,30,00,4.9535
2022,01,01,15,00,00,4.14989
2022,01,01,15,30,00,4.20817
2022,01,01,16,00,00,3.77367
2022,01,01,16,30,00,3.48028
2022,01,01,17,00,00,3.31356
2022,01,01,17,30,00,3.49689
2022,01,01,18,00,00,3.02006
2022,01,01,18,30,00,2.59767
2022,01,01,19,00,00,2.5005
2022,01,01,19,30,00,2.899
2022,01,01,20,00,00,3.13567
2022,01,01,20,30,00,3.11294
2022,01,01,21,00,00,3.21972
2022,01,01,21,30,00,3.02422
2022,01,01,22,00,00,2.39294
2022,01,01,22,30,00,2.90072
2022,01,01,23,00,00,3.39556
2022,01,01,23,30,00,2.95633
2022,01,02,00,00,00,2.26217
2022,01,02,00,30,00,3.17689
2022,01,02,01,00,00,3.05675
2022,01,02,01,30,00,2.93422
2022,01,02,02,00,00,2.6905
2022,01,02,02,30,00,2.08141
2022,01,02,03,00,00,2.12957
2022,01,02,03,30,00,0.52642
2022,01,02,04,00,00,0.76911
2022,01,02,04,30,00,0.94644
2022,01,02,05,00,00,1.13256
2022,01,02,05,30,00,0.75761
2022,01,02,06,00,00,0.83278
2022,01,02,06,30,00,0.78183
2022,01,02,07,00,00,1.496
2022,01,02,07,30,00,1.62944
2022,01,02,08,00,00,1.442
2022,01,02,08,30,00,1.80283
2022,01,02,09,00,00,1.68194
2022,01,02,09,30,00,1.72539
2022,01,02,10,00,00,2.37806
2022,01,02,10,30,00,3.48389
2022,01,02,11,00,00,3.44611
2022,01,02,11,30,00,4.14622
2022,01,02,12,00,00,4.41211
2022,01,02,12,30,00,4.61528
2022,01,02,13,00,00,5.09117
2022,01,02,13,30,00,4.63478
2022,01,02,14,00,00,5.04494
2022,01,02,14,30,00,5.21411
2022,01,02,15,00,00,4.824
2022,01,02,15,30,00,4.82322
2022,01,02,16,00,00,5.32183
2022,01,02,16,30,00,5.19733
2022,01,02,17,00,00,4.71172
2022,01,02,17,30,00,5.37311
2022,01,02,18,00,00,5.08811
2022,01,02,18,30,00,5.03417
2022,01,02,19,00,00,4.67856
2022,01,02,19,30,00,4.84906
2022,01,02,20,00,00,5.51344
2022,01,02,20,30,00,5.22839
2022,01,02,21,00,00,5.48417
2022,01,02,21,30,00,5.10167
2022,01,02,22,00,00,5.12367
2022,01,02,22,30,00,5.42889
2022,01,02,23,00,00,5.31472
2022,01,02,23,30,00,4.55833
2022,01,03,00,00,00,5.04172
2022,01,03,00,30,00,5.3035
2022,01,03,01,00,00,5.33786
2022,01,03,01,30,00,4.45161
2022,01,03,02,00,00,4.6395
2022,01,03,02,30,00,4.76
2022,01,03,03,00,00,4.59217
2022,01,03,03,30,00,4.87261
2022,01,03,04,00,00,5.01911
2022,01,03,04,30,00,5.20361
2022,01,03,05,00,00,5.57689
2022,01,03,05,30,00,5.20417
2022,01,03,06,00,00,5.225
2022,01,03,06,30,00,5.24628
2022,01,03,07,00,00,5.2855
2022,01,03,07,30,00,5.58011
2022,01,03,08,00,00,4.67322
2022,01,03,08,30,00,5.09722
2022,01,03,09,00,00,4.63617
2022,01,03,09,30,00,4.95167
2022,01,03,10,00,00,4.85033
2022,01,03,10,30,00,4.34656
2022,01,03,11,00,00,4.47811
2022,01,03,11,30,00,3.6215
2022,01,03,12,00,00,4.21183
2022,01,03,12,30,00,4.25878
2022,01,03,13,00,00,4.19372
2022,01,03,13,30,00,4.13022
2022,01,03,14,00,00,4.29178
2022,01,03,14,30,00,4.23394
2022,01,03,15,00,00,4.26372
2022,01,03,15,30,00,4.48633
2022,01,03,16,00,00,4.40156
2022,01,03,16,30,00,4.57444
2022,01,03,17,00,00,4.35756
2022,01,03,17,30,00,4.50828
2022,01,03,18,00,00,4.4235
2022,01,03,18,30,00,4.27778
2022,01,03,19,00,00,4.7255
2022,01,03,19,30,00,4.20156
2022,01,03,20,00,00,4.37428
2022,01,03,20,30,00,4.43178
2022,01,03,21,00,00,4.76567
2022,01,03,21,30,00,4.94828
2022,01,03,22,00,00,5.12311
2022,01,03,22,30,00,4.89672
2022,01,03,23,00,00,5.10311
2022,01,03,23,30,00,4.75556
2022,01,04,00,00,00,4.8835
2022,01,04,00,30,00,5.03667
2022,01,04,01,00,00,5.02994
2022,01,04,01,30,00,4.5355
2022,01,04,02,00,00,4.97628
2022,01,04,02,30,00,5.47933
2022,01,04,03,00,00,4.93444
2022,01,04,03,30,00,5.81733
2022,01,04,04,00,00,5.43544
2022,01,04,04,30,00,5.30383
2022,01,04,05,00,00,5.52589
2022,01,04,05,30,00,5.6925
2022,01,04,06,00,00,6.35083
2022,01,04,06,30,00,6.49989
2022,01,04,07,00,00,6.01344
2022,01,04,07,30,00,6.41522
2022,01,04,08,00,00,6.38111
2022,01,04,08,30,00,6.42756
2022,01,04,09,00,00,6.75372
2022,01,04,09,30,00,6.93556
2022,01,04,10,00,00,6.75128
