year,month,date,hour,minute,second,"Sulfuric acid concentrartion [molec cm-3], cf= 5e9",Air temperature [deg C] at 10m,Relative humidity [%] at 10m,SO2 corrected for instrumental drift [ppb] at 10m,Global radiation [W m-2],"CS [s-1] from DPS and OPC corrected for RH,T and factor of 1.5",Wind direction [deg] at 10m,Wind speed [m s-1] at 10m
2021,2,19,18,18,52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021,2,19,19,0,0,288477.440335555,-16.47,75.09,1.49156488549618,5.36,0.00543753813177836,300.58,3.17
2021,2,19,20,0,0,65967.0422464842,-16.98,79.16,1.26286259541985,5.36,0.00514985689860237,293.68,2.51
2021,2,19,21,0,0,52630.6030224077,-17.61,76.55,1.11931297709924,5.06,0.00432154585793515,283.05,3
2021,2,19,22,0,0,43244.8541687336,-18.68,73.64,1.12408396946565,0,0.00426971604412208,286.84,3.68
2021,2,19,23,0,0,53806.9707545219,-19.81,74.63,1.12095419847328,0,0.0036540943380999,285.12,2.68
2021,2,20,0,0,0,62008.5484115407,-20.44,73.81,1.13496183206107,0,0.00383090810372152,275.47,2.19
2021,2,20,1,0,0,73144.0104573267,-21.22,75.43,1.17221374045801,0,0.00366822299296544,266.04,3.15
2021,2,20,2,0,0,68247.9276292725,-21.86,70.92,1.22896946564886,0,0.00270596545229191,288.6,3.38
2021,2,20,3,0,0,75239.8864278803,-22.64,73.26,1.20706106870229,0,0.00299476908563027,288.51,2.45
2021,2,20,4,0,0,66111.8065181654,-23.34,74.18,1.17496183206107,0,0.00297387401917192,262.02,1.59
2021,2,20,5,0,0,83693.1212688796,-24.18,76.64,1.2136641221374,0,0.00305719520615974,245.01,1.83
2021,2,20,6,0,0,80809.9866844714,-25,77.29,1.2169465648855,0,0.00290601875625147,232.3,1.17
2021,2,20,7,0,0,98732.8166957013,-25.67,78.99,1.20912213740458,0,0.00312967162974361,226.76,1.33
2021,2,20,8,0,0,93509.2157305917,-26.13,79.22,1.18679389312977,0,0.00327459591325694,217.7,1.75
2021,2,20,9,0,0,383611.441066023,-26.29,78.06,1.32290076335878,31.81,0.00328747569715265,218.4,1.74
2021,2,20,10,0,0,1108805.29973656,-26.03,74,1.59522900763359,133.47,0.00323408493060936,205.63,2.3
2021,2,20,11,0,0,2134256.93800673,-24.65,70.67,2.07950381679389,247.28,0.00317934934952984,213.38,1.63
2021,2,20,12,0,0,3475620.76058239,-23.83,65.58,2.66385496183206,371.52,0.0026746392189582,242.44,2.85
2021,2,20,13,0,0,4702195.29233873,-22.92,60.86,2.87080152671756,405.82,0.00289618831684347,223.15,2.42
2021,2,20,14,0,0,5038056.98826909,-21.67,58.63,2.8837786259542,397.68,0.00262948524029021,238.96,2.25
2021,2,20,15,0,0,4687283.07168931,-20.69,57,2.87797709923664,382.23,0.0024101096585024,224.17,2.3
2021,2,20,16,0,0,3341182.01863021,-20.2,56.59,2.7969465648855,261.41,0.00275687936532303,218.74,2.09
2021,2,20,17,0,0,1669073.97215255,-20.07,55.23,2.6243893129771,152.29,0.00241794465601159,203.61,2.28
2021,2,20,18,0,0,602724.758209661,-20.35,56.06,2.34835877862595,25.81,0.00381075039980994,183.27,1.53
2021,2,20,19,0,0,238088.832702488,-21.47,61.89,1.99156488549618,0,0.00672376937675057,168.27,1.25
2021,2,20,20,0,0,187666.464626091,-24.06,71.05,1.68931297709924,0,0.00361782380181642,132.22,0.4
2021,2,20,21,0,0,138953.637360828,-24.17,72.3,1.5981679389313,0,0.00615886013487574,179.1,1.16
2021,2,20,22,0,0,103409.40207243,-25.07,73.53,0.699809160305344,0,0.0524750750244367,99.91,0.44
2021,2,20,23,0,0,108742.224256275,-26.56,82.15,1.09286259541985,0,0.00413193817353735,109.93,0.69
2021,2,21,0,0,0,60311.4267505589,-26.59,79.6,1.14946564885496,5.06,0.00584497880455331,156.06,0.83
2021,2,21,1,0,0,87233.2930157427,-25.84,80.9,1.2031679389313,0,0.00536786174709058,166.16,1.72
2021,2,21,2,0,0,62133.0491412664,-25.68,82.74,1.22278625954198,5.31,0.00607319194705685,172.36,1.75
2021,2,21,3,0,0,91856.1636353843,-25.75,82.78,1.33648854961832,0,0.00536401070126434,170.18,1.73
2021,2,21,4,0,0,61526.9345871639,-26.81,80.31,1.21076335877863,0,0.00459854426373903,157.31,1.13
2021,2,21,5,0,0,55714.2857360304,-28.99,77.35,1.13358778625954,0,0.00378490578756798,89.06,0.87
2021,2,21,6,0,0,48159.8635815317,-28.96,77.17,1.24904580152672,0,0.00381536024522915,97.02,0.8
2021,2,21,7,0,0,60977.0177106839,-29.93,75.46,1.05427480916031,8.51,0.0047589966047156,121.83,0.3
2021,2,21,8,0,0,74461.2862035865,-31.01,74.27,1.06568702290076,0,0.00395857042491521,12.94,0.35
