Year,Month,Day,Hour,Minute,Second,HYY_META.T336
2011,01,01,00,00,00,-7.166
2011,01,01,00,30,00,-7.00633
2011,01,01,01,00,00,-6.80033
2011,01,01,01,30,00,-6.62567
2011,01,01,02,00,00,-6.689
2011,01,01,02,30,00,-6.674
2011,01,01,03,00,00,-6.59267
2011,01,01,03,30,00,-6.44
2011,01,01,04,00,00,-6.37467
2011,01,01,04,30,00,-6.33267
2011,01,01,05,00,00,-6.32733
2011,01,01,05,30,00,-6.29667
2011,01,01,06,00,00,-6.26167
2011,01,01,06,30,00,-6.256
2011,01,01,07,00,00,-6.30167
2011,01,01,07,30,00,-6.19933
2011,01,01,08,00,00,-6.131
2011,01,01,08,30,00,-6.37567
2011,01,01,09,00,00,-6.662
2011,01,01,09,30,00,-7.035
2011,01,01,10,00,00,-7.25433
2011,01,01,10,30,00,-7.45
2011,01,01,11,00,00,-7.72967
2011,01,01,11,30,00,-7.93767
2011,01,01,12,00,00,-7.903
2011,01,01,12,30,00,-7.809
2011,01,01,13,00,00,-7.777
2011,01,01,13,30,00,-7.833
2011,01,01,14,00,00,-7.96633
2011,01,01,14,30,00,-8.05033
2011,01,01,15,00,00,-8.103
2011,01,01,15,30,00,-8.09
2011,01,01,16,00,00,-8.158
2011,01,01,16,30,00,-8.347
2011,01,01,17,00,00,-8.59667
2011,01,01,17,30,00,-8.85567
2011,01,01,18,00,00,-9.01833
2011,01,01,18,30,00,-9.28167
2011,01,01,19,00,00,-9.44067
2011,01,01,19,30,00,-9.50367
2011,01,01,20,00,00,-9.68167
2011,01,01,20,30,00,-9.93233
2011,01,01,21,00,00,-10.25267
2011,01,01,21,30,00,-10.59967
2011,01,01,22,00,00,-11.13
2011,01,01,22,30,00,-11.54233
2011,01,01,23,00,00,-11.76567
2011,01,01,23,30,00,-11.84267
2011,01,02,00,00,00,-12.02533
2011,01,02,00,30,00,-12.02967
2011,01,02,01,00,00,-11.94933
2011,01,02,01,30,00,-12.157
2011,01,02,02,00,00,-12.379
2011,01,02,02,30,00,-12.446
2011,01,02,03,00,00,-12.35433
2011,01,02,03,30,00,-12.42333
2011,01,02,04,00,00,-12.55967
2011,01,02,04,30,00,-12.738
2011,01,02,05,00,00,-12.88933
2011,01,02,05,30,00,-13.01033
2011,01,02,06,00,00,-12.95233
2011,01,02,06,30,00,-12.891
2011,01,02,07,00,00,-13.04767
2011,01,02,07,30,00,-13.27333
2011,01,02,08,00,00,-13.50633
2011,01,02,08,30,00,-13.50333
2011,01,02,09,00,00,-13.334
2011,01,02,09,30,00,-13.36667
2011,01,02,10,00,00,-13.23933
2011,01,02,10,30,00,-12.794
2011,01,02,11,00,00,-12.47667
2011,01,02,11,30,00,-12.378
2011,01,02,12,00,00,-12.06433
2011,01,02,12,30,00,-11.96367
2011,01,02,13,00,00,-11.94833
2011,01,02,13,30,00,-11.92433
2011,01,02,14,00,00,-11.74267
2011,01,02,14,30,00,-11.546
2011,01,02,15,00,00,-11.58967
2011,01,02,15,30,00,-11.58533
2011,01,02,16,00,00,-11.472
2011,01,02,16,30,00,-11.449
2011,01,02,17,00,00,-11.38667
2011,01,02,17,30,00,-11.26833
2011,01,02,18,00,00,-11.20067
2011,01,02,18,30,00,-11.159
2011,01,02,19,00,00,-11.105
2011,01,02,19,30,00,-11.08133
2011,01,02,20,00,00,-10.98967
2011,01,02,20,30,00,-10.865
2011,01,02,21,00,00,-10.816
2011,01,02,21,30,00,-10.739
2011,01,02,22,00,00,-10.63033
2011,01,02,22,30,00,-10.604
2011,01,02,23,00,00,-10.63833
2011,01,02,23,30,00,-10.69233
2011,01,03,00,00,00,-10.87767
2011,01,03,00,30,00,-11.07133
2011,01,03,01,00,00,-11.196
2011,01,03,01,30,00,-11.38567
2011,01,03,02,00,00,-11.60267
2011,01,03,02,30,00,-11.76367
2011,01,03,03,00,00,-11.92967
2011,01,03,03,30,00,-12.13833
2011,01,03,04,00,00,-12.25933
2011,01,03,04,30,00,-12.38067
2011,01,03,05,00,00,-12.445
2011,01,03,05,30,00,-12.45733
2011,01,03,06,00,00,-12.42633
2011,01,03,06,30,00,-12.49133
2011,01,03,07,00,00,-12.54133
2011,01,03,07,30,00,-12.568
2011,01,03,08,00,00,-12.69467
2011,01,03,08,30,00,-12.74633
2011,01,03,09,00,00,-12.771
2011,01,03,09,30,00,-12.85833
2011,01,03,10,00,00,-12.80567
2011,01,03,10,30,00,-12.791
2011,01,03,11,00,00,-12.73833
2011,01,03,11,30,00,-12.63033
2011,01,03,12,00,00,-12.565
2011,01,03,12,30,00,-12.723
2011,01,03,13,00,00,-12.584
2011,01,03,13,30,00,-12.332
2011,01,03,14,00,00,-12.659
2011,01,03,14,30,00,-12.577
2011,01,03,15,00,00,-12.492
2011,01,03,15,30,00,-12.42367
2011,01,03,16,00,00,-12.62167
2011,01,03,16,30,00,-12.67033
2011,01,03,17,00,00,-12.61267
2011,01,03,17,30,00,-12.507
2011,01,03,18,00,00,-12.36033
2011,01,03,18,30,00,-12.04467
2011,01,03,19,00,00,-12.09733
2011,01,03,19,30,00,-12.139
2011,01,03,20,00,00,-12.27967
2011,01,03,20,30,00,-12.34333
2011,01,03,21,00,00,-12.27
2011,01,03,21,30,00,-12.20967
2011,01,03,22,00,00,-12.493
2011,01,03,22,30,00,-12.77033
2011,01,03,23,00,00,-12.76567
2011,01,03,23,30,00,-12.63567
2011,01,04,00,00,00,-12.50633
2011,01,04,00,30,00,-12.433
2011,01,04,01,00,00,-12.35267
2011,01,04,01,30,00,-12.54367
2011,01,04,02,00,00,-12.75133
2011,01,04,02,30,00,-13.14667
2011,01,04,03,00,00,-13.1
2011,01,04,03,30,00,-13.25667
2011,01,04,04,00,00,-12.73133
2011,01,04,04,30,00,-13.132
2011,01,04,05,00,00,-13.75967
2011,01,04,05,30,00,-14.251
2011,01,04,06,00,00,-14.13133
2011,01,04,06,30,00,-14.38933
2011,01,04,07,00,00,-13.92933
2011,01,04,07,30,00,-14.21067
2011,01,04,08,00,00,-15.01867
2011,01,04,08,30,00,-15.03467
2011,01,04,09,00,00,-15.06967
2011,01,04,09,30,00,-14.23567
2011,01,04,10,00,00,-16.46033
2011,01,04,10,30,00,-16.51633
2011,01,04,11,00,00,-14.652
2011,01,04,11,30,00,-14.283
2011,01,04,12,00,00,-14.30867
2011,01,04,12,30,00,-14.99967
2011,01,04,13,00,00,-14.70467
2011,01,04,13,30,00,-14.18167
2011,01,04,14,00,00,-14.13933
2011,01,04,14,30,00,-14.12345
2011,01,04,15,00,00,-14.50233
2011,01,04,15,30,00,-14.558
2011,01,04,16,00,00,-14.628
2011,01,04,16,30,00,-14.495
2011,01,04,17,00,00,-14.653
2011,01,04,17,30,00,-14.91667
2011,01,04,18,00,00,-14.574
2011,01,04,18,30,00,-14.62033
2011,01,04,19,00,00,-14.698
2011,01,04,19,30,00,-15.048
2011,01,04,20,00,00,-15.12433
2011,01,04,20,30,00,-15.30867
2011,01,04,21,00,00,-15.64233
2011,01,04,21,30,00,-15.62
2011,01,04,22,00,00,-15.53233
2011,01,04,22,30,00,-15.528
2011,01,04,23,00,00,-15.81367
2011,01,04,23,30,00,-15.74133
2011,01,05,00,00,00,-16.05867
2011,01,05,00,30,00,-16.34233
2011,01,05,01,00,00,-16.42867
2011,01,05,01,30,00,-16.34667
2011,01,05,02,00,00,-15.73167
2011,01,05,02,30,00,-15.697
2011,01,05,03,00,00,-15.55433
2011,01,05,03,30,00,-15.18833
2011,01,05,04,00,00,-15.25433
2011,01,05,04,30,00,-15.67767
2011,01,05,05,00,00,-15.74067
2011,01,05,05,30,00,-15.51733
2011,01,05,06,00,00,-15.28933
2011,01,05,06,30,00,-15.20933
2011,01,05,07,00,00,-14.96633
2011,01,05,07,30,00,-14.60867
2011,01,05,08,00,00,-14.35433
2011,01,05,08,30,00,-14.118
2011,01,05,09,00,00,-13.81733
2011,01,05,09,30,00,-14.04033
2011,01,05,10,00,00,-14.07567
2011,01,05,10,30,00,-13.906
2011,01,05,11,00,00,-13.75133
2011,01,05,11,30,00,-13.59567
2011,01,05,12,00,00,-13.507
2011,01,05,12,30,00,-13.39767
2011,01,05,13,00,00,-13.28467
2011,01,05,13,30,00,-13.221
2011,01,05,14,00,00,-13.096
2011,01,05,14,30,00,-12.92167
2011,01,05,15,00,00,-12.86333
2011,01,05,15,30,00,-12.888
2011,01,05,16,00,00,-13.03767
2011,01,05,16,30,00,-13.23433
2011,01,05,17,00,00,-13.197
2011,01,05,17,30,00,-13.40067
2011,01,05,18,00,00,-13.40167
2011,01,05,18,30,00,-13.437
2011,01,05,19,00,00,-13.55067
2011,01,05,19,30,00,-13.676
2011,01,05,20,00,00,-14.106
2011,01,05,20,30,00,-14.92367
2011,01,05,21,00,00,-15.58367
2011,01,05,21,30,00,-15.35167
2011,01,05,22,00,00,-15.19867
2011,01,05,22,30,00,-15.04633
2011,01,05,23,00,00,-14.81433
2011,01,05,23,30,00,-14.27367
2011,01,06,00,00,00,-13.89233
2011,01,06,00,30,00,-13.489
2011,01,06,01,00,00,-13.22333
2011,01,06,01,30,00,-13.13833
2011,01,06,02,00,00,-13.08933
2011,01,06,02,30,00,-13.136
2011,01,06,03,00,00,-13.14533
2011,01,06,03,30,00,-13.33667
2011,01,06,04,00,00,-13.246
2011,01,06,04,30,00,-13.06
2011,01,06,05,00,00,-13.04933
2011,01,06,05,30,00,-13.16333
2011,01,06,06,00,00,-13.04567
2011,01,06,06,30,00,-12.55133
2011,01,06,07,00,00,-12.054
2011,01,06,07,30,00,-11.67833
2011,01,06,08,00,00,-11.125
2011,01,06,08,30,00,-10.58567
2011,01,06,09,00,00,-10.08967
2011,01,06,09,30,00,-9.68667
2011,01,06,10,00,00,-9.37533
2011,01,06,10,30,00,-9.20967
2011,01,06,11,00,00,-9.05567
2011,01,06,11,30,00,-8.86067
2011,01,06,12,00,00,-8.71767
2011,01,06,12,30,00,-8.579
2011,01,06,13,00,00,-8.44167
2011,01,06,13,30,00,-8.26667
2011,01,06,14,00,00,-8.15067
2011,01,06,14,30,00,-7.88333
2011,01,06,15,00,00,-7.67133
2011,01,06,15,30,00,-7.48267
2011,01,06,16,00,00,-7.187
2011,01,06,16,30,00,-7.01533
2011,01,06,17,00,00,-6.89333
2011,01,06,17,30,00,-6.81133
2011,01,06,18,00,00,-6.72533
2011,01,06,18,30,00,-6.68233
2011,01,06,19,00,00,-6.77133
2011,01,06,19,30,00,-6.932
2011,01,06,20,00,00,-7.067
2011,01,06,20,30,00,-7.232
2011,01,06,21,00,00,-7.507
2011,01,06,21,30,00,-7.71
2011,01,06,22,00,00,-7.78133
2011,01,06,22,30,00,-7.78833
2011,01,06,23,00,00,-7.79933
2011,01,06,23,30,00,-7.84
2011,01,07,00,00,00,-7.89633
2011,01,07,00,30,00,-7.94433
2011,01,07,01,00,00,-7.96933
2011,01,07,01,30,00,-7.95233
2011,01,07,02,00,00,-7.912
2011,01,07,02,30,00,-7.88867
2011,01,07,03,00,00,-7.83933
2011,01,07,03,30,00,-7.75633
2011,01,07,04,00,00,-7.631
2011,01,07,04,30,00,-7.51433
2011,01,07,05,00,00,-7.41833
2011,01,07,05,30,00,-7.351
2011,01,07,06,00,00,-7.32167
2011,01,07,06,30,00,-7.20667
2011,01,07,07,00,00,-7.10433
2011,01,07,07,30,00,-7.049
2011,01,07,08,00,00,-6.97633
2011,01,07,08,30,00,-6.886
2011,01,07,09,00,00,-6.72867
2011,01,07,09,30,00,-6.64267
2011,01,07,10,00,00,-6.58967
2011,01,07,10,30,00,-6.48867
2011,01,07,11,00,00,-6.41467
2011,01,07,11,30,00,-6.39133
2011,01,07,12,00,00,-6.37233
2011,01,07,12,30,00,-6.39233
2011,01,07,13,00,00,-6.40733
2011,01,07,13,30,00,-6.44867
2011,01,07,14,00,00,-6.553
2011,01,07,14,30,00,-6.60767
2011,01,07,15,00,00,-6.69633
2011,01,07,15,30,00,-6.776
2011,01,07,16,00,00,-6.866
2011,01,07,16,30,00,-6.904
2011,01,07,17,00,00,-6.907
2011,01,07,17,30,00,-6.943
2011,01,07,18,00,00,-6.94933
2011,01,07,18,30,00,-6.94333
2011,01,07,19,00,00,-6.939
2011,01,07,19,30,00,-6.88667
2011,01,07,20,00,00,-6.81967
2011,01,07,20,30,00,-6.64833
2011,01,07,21,00,00,-6.55067
2011,01,07,21,30,00,-6.25867
2011,01,07,22,00,00,-5.34033
2011,01,07,22,30,00,-4.266
2011,01,07,23,00,00,-3.48833
2011,01,07,23,30,00,-3.284
2011,01,08,00,00,00,-3.34433
2011,01,08,00,30,00,-3.47967
2011,01,08,01,00,00,-3.60567
2011,01,08,01,30,00,-3.55967
2011,01,08,02,00,00,-3.45833
2011,01,08,02,30,00,-3.287
2011,01,08,03,00,00,-3.13933
2011,01,08,03,30,00,-3.12533
2011,01,08,04,00,00,-3.33767
2011,01,08,04,30,00,-3.66967
2011,01,08,05,00,00,-3.92733
2011,01,08,05,30,00,-4.03533
2011,01,08,06,00,00,-4.381
2011,01,08,06,30,00,-4.702
2011,01,08,07,00,00,-4.79167
2011,01,08,07,30,00,-4.945
2011,01,08,08,00,00,-5.08367
2011,01,08,08,30,00,-5.27833
2011,01,08,09,00,00,-5.62367
2011,01,08,09,30,00,-5.88033
2011,01,08,10,00,00,-6.112
2011,01,08,10,30,00,-6.38533
2011,01,08,11,00,00,-6.59067
2011,01,08,11,30,00,-7.09667
2011,01,08,12,00,00,-7.47267
2011,01,08,12,30,00,-7.776
2011,01,08,13,00,00,-7.91267
2011,01,08,13,30,00,-7.92433
2011,01,08,14,00,00,-7.84333
2011,01,08,14,30,00,-7.87533
2011,01,08,15,00,00,-7.886
2011,01,08,15,30,00,-7.71567
2011,01,08,16,00,00,-7.279
2011,01,08,16,30,00,-6.82667
2011,01,08,17,00,00,-6.44267
2011,01,08,17,30,00,-6.35633
2011,01,08,18,00,00,-5.95067
