Year,Month,Day,Hour,Minute,Second,HYY_META.WSU336
2011,01,01,00,00,00,1.98
2011,01,01,00,30,00,2.34364
2011,01,01,01,00,00,1.81933
2011,01,01,01,30,00,2.93591
2011,01,01,02,00,00,2.81074
2011,01,01,02,30,00,3.77444
2011,01,01,03,00,00,3.97172
2011,01,01,03,30,00,3.94207
2011,01,01,04,00,00,3.82
2011,01,01,04,30,00,4.26567
2011,01,01,05,00,00,4.69167
2011,01,01,05,30,00,4.34367
2011,01,01,06,00,00,3.78033
2011,01,01,06,30,00,4.24567
2011,01,01,07,00,00,3.98767
2011,01,01,07,30,00,4.381
2011,01,01,08,00,00,4.135
2011,01,01,08,30,00,4.52367
2011,01,01,09,00,00,5.12167
2011,01,01,09,30,00,5.19467
2011,01,01,10,00,00,4.55867
2011,01,01,10,30,00,4.25733
2011,01,01,11,00,00,3.84533
2011,01,01,11,30,00,3.69633
2011,01,01,12,00,00,3.40267
2011,01,01,12,30,00,4.221
2011,01,01,13,00,00,3.90567
2011,01,01,13,30,00,3.41233
2011,01,01,14,00,00,2.96667
2011,01,01,14,30,00,2.634
2011,01,01,15,00,00,3.225
2011,01,01,15,30,00,3.385
2011,01,01,16,00,00,3.58933
2011,01,01,16,30,00,3.42233
2011,01,01,17,00,00,2.805
2011,01,01,17,30,00,2.59367
2011,01,01,18,00,00,2.93833
2011,01,01,18,30,00,2.83733
2011,01,01,19,00,00,2.89567
2011,01,01,19,30,00,2.584
2011,01,01,20,00,00,3.06867
2011,01,01,20,30,00,3.09933
2011,01,01,21,00,00,2.46333
2011,01,01,21,30,00,2.36333
2011,01,01,22,00,00,3.19867
2011,01,01,22,30,00,2.55241
2011,01,01,23,00,00,2.59467
2011,01,01,23,30,00,2.47733
2011,01,02,00,00,00,2.70567
2011,01,02,00,30,00,2.3763
2011,01,02,01,00,00,2.71833
2011,01,02,01,30,00,1.38133
2011,01,02,02,00,00,1.34367
2011,01,02,02,30,00,1.29233
2011,01,02,03,00,00,1.70767
2011,01,02,03,30,00,2.2
2011,01,02,04,00,00,1.63567
2011,01,02,04,30,00,1.82633
2011,01,02,05,00,00,2.03172
2011,01,02,05,30,00,1.97793
2011,01,02,06,00,00,1.80467
2011,01,02,06,30,00,1.47433
2011,01,02,07,00,00,1.21467
2011,01,02,07,30,00,1.34967
2011,01,02,08,00,00,1.982
2011,01,02,08,30,00,2.016
2011,01,02,09,00,00,0.98414
2011,01,02,09,30,00,1.30483
2011,01,02,10,00,00,1.83552
2011,01,02,10,30,00,1.90633
2011,01,02,11,00,00,1.94667
2011,01,02,11,30,00,2.05133
2011,01,02,12,00,00,1.766
2011,01,02,12,30,00,1.42393
2011,01,02,13,00,00,0.87115
2011,01,02,13,30,00,0.53192
2011,01,02,14,00,00,1.40033
2011,01,02,14,30,00,0.49333
2011,01,02,15,00,00,0.6856
2011,01,02,15,30,00,1.21833
2011,01,02,16,00,00,1.928
2011,01,02,16,30,00,2.10867
2011,01,02,17,00,00,2.355
2011,01,02,17,30,00,1.63533
2011,01,02,18,00,00,1.671
2011,01,02,18,30,00,2.118
2011,01,02,19,00,00,2.043
2011,01,02,19,30,00,2.21967
2011,01,02,20,00,00,2.16867
2011,01,02,20,30,00,1.92633
2011,01,02,21,00,00,2.407
2011,01,02,21,30,00,2.842
2011,01,02,22,00,00,2.38867
2011,01,02,22,30,00,3.197
2011,01,02,23,00,00,3.32533
2011,01,02,23,30,00,2.55433
2011,01,03,00,00,00,2.53933
2011,01,03,00,30,00,2.358
2011,01,03,01,00,00,2.64833
2011,01,03,01,30,00,2.284
2011,01,03,02,00,00,2.69793
2011,01,03,02,30,00,1.74133
2011,01,03,03,00,00,1.786
2011,01,03,03,30,00,2.03143
2011,01,03,04,00,00,1.98036
2011,01,03,04,30,00,2.59655
2011,01,03,05,00,00,3.028
2011,01,03,05,30,00,2.766
2011,01,03,06,00,00,2.397
2011,01,03,06,30,00,1.77667
2011,01,03,07,00,00,1.249
2011,01,03,07,30,00,1.73833
2011,01,03,08,00,00,2.22067
2011,01,03,08,30,00,2.391
2011,01,03,09,00,00,2.05033
2011,01,03,09,30,00,1.871
2011,01,03,10,00,00,1.78033
2011,01,03,10,30,00,1.82433
2011,01,03,11,00,00,2.05033
2011,01,03,11,30,00,1.219
2011,01,03,12,00,00,0.93467
2011,01,03,12,30,00,1.114
2011,01,03,13,00,00,1.521
2011,01,03,13,30,00,1.58767
2011,01,03,14,00,00,1.973
2011,01,03,14,30,00,1.53067
2011,01,03,15,00,00,0.99867
2011,01,03,15,30,00,0.79733
2011,01,03,16,00,00,1.133
2011,01,03,16,30,00,1.08433
2011,01,03,17,00,00,1.45533
2011,01,03,17,30,00,1.36367
2011,01,03,18,00,00,1.63933
2011,01,03,18,30,00,2.015
2011,01,03,19,00,00,2.202
2011,01,03,19,30,00,1.379
