Year,Month,Day,Hour,Minute,Second,HYY_META.Pamb0
2018,01,01,00,00,00,980.73233
2018,01,01,00,30,00,980.27367
2018,01,01,01,00,00,979.858
2018,01,01,01,30,00,979.79433
2018,01,01,02,00,00,979.55233
2018,01,01,02,30,00,979.24067
2018,01,01,03,00,00,978.973
2018,01,01,03,30,00,978.66
2018,01,01,04,00,00,978.20967
2018,01,01,04,30,00,978.02133
2018,01,01,05,00,00,977.47233
2018,01,01,05,30,00,977.05267
2018,01,01,06,00,00,976.87567
2018,01,01,06,30,00,976.59867
2018,01,01,07,00,00,976.23833
2018,01,01,07,30,00,975.87133
2018,01,01,08,00,00,975.67333
2018,01,01,08,30,00,975.529
2018,01,01,09,00,00,975.35333
2018,01,01,09,30,00,975.20333
2018,01,01,10,00,00,975.00733
2018,01,01,10,30,00,975.007
2018,01,01,11,00,00,974.87733
2018,01,01,11,30,00,974.70667
2018,01,01,12,00,00,974.67667
2018,01,01,12,30,00,974.38367
2018,01,01,13,00,00,974.03967
2018,01,01,13,30,00,973.936
2018,01,01,14,00,00,973.6
2018,01,01,14,30,00,973.25967
2018,01,01,15,00,00,972.91033
2018,01,01,15,30,00,972.83467
2018,01,01,16,00,00,972.61567
2018,01,01,16,30,00,972.41333
2018,01,01,17,00,00,972.24633
2018,01,01,17,30,00,971.80633
2018,01,01,18,00,00,971.46667
2018,01,01,18,30,00,971.20567
2018,01,01,19,00,00,971.17767
2018,01,01,19,30,00,970.82867
2018,01,01,20,00,00,970.46067
2018,01,01,20,30,00,970.18833
2018,01,01,21,00,00,969.97567
2018,01,01,21,30,00,969.76933
2018,01,01,22,00,00,969.58967
2018,01,01,22,30,00,969.423
2018,01,01,23,00,00,969.20233
2018,01,01,23,30,00,968.93233
2018,01,02,00,00,00,968.771
2018,01,02,00,30,00,968.61133
2018,01,02,01,00,00,968.40867
2018,01,02,01,30,00,968.23333
2018,01,02,02,00,00,968.081
2018,01,02,02,30,00,967.985
2018,01,02,03,00,00,967.77667
2018,01,02,03,30,00,967.71633
2018,01,02,04,00,00,967.58767
2018,01,02,04,30,00,967.5
2018,01,02,05,00,00,967.55333
2018,01,02,05,30,00,967.545
2018,01,02,06,00,00,967.617
2018,01,02,06,30,00,967.754
2018,01,02,07,00,00,967.83733
2018,01,02,07,30,00,968.04867
2018,01,02,08,00,00,968.257
2018,01,02,08,30,00,968.53533
2018,01,02,09,00,00,968.89067
2018,01,02,09,30,00,969.30233
2018,01,02,10,00,00,969.656
2018,01,02,10,30,00,NaN
2018,01,02,11,00,00,NaN
2018,01,02,11,30,00,NaN
2018,01,02,12,00,00,NaN
2018,01,02,12,30,00,973.17833
2018,01,02,13,00,00,973.988
2018,01,02,13,30,00,974.701
2018,01,02,14,00,00,975.20933
2018,01,02,14,30,00,975.69333
2018,01,02,15,00,00,976.20533
2018,01,02,15,30,00,976.777
2018,01,02,16,00,00,977.186
2018,01,02,16,30,00,977.38933
2018,01,02,17,00,00,977.53667
2018,01,02,17,30,00,977.7
2018,01,02,18,00,00,977.729
2018,01,02,18,30,00,977.84467
2018,01,02,19,00,00,977.98867
2018,01,02,19,30,00,977.929
2018,01,02,20,00,00,977.88867
2018,01,02,20,30,00,977.902
2018,01,02,21,00,00,978.05
2018,01,02,21,30,00,978.07567
2018,01,02,22,00,00,978.17567
2018,01,02,22,30,00,978.207
2018,01,02,23,00,00,978.195
2018,01,02,23,30,00,978.208
2018,01,03,00,00,00,978.27467
2018,01,03,00,30,00,978.32133
2018,01,03,01,00,00,978.268
2018,01,03,01,30,00,978.177
2018,01,03,02,00,00,978.31467
2018,01,03,02,30,00,978.301
2018,01,03,03,00,00,978.26
2018,01,03,03,30,00,978.23933
2018,01,03,04,00,00,978.23733
2018,01,03,04,30,00,978.22667
2018,01,03,05,00,00,978.353
2018,01,03,05,30,00,978.29833
2018,01,03,06,00,00,978.21367
2018,01,03,06,30,00,978.17033
2018,01,03,07,00,00,978.15733
2018,01,03,07,30,00,978.22133
2018,01,03,08,00,00,978.34833
2018,01,03,08,30,00,978.45533
2018,01,03,09,00,00,978.566
2018,01,03,09,30,00,978.81467
2018,01,03,10,00,00,979.021
2018,01,03,10,30,00,979.14367
2018,01,03,11,00,00,979.314
2018,01,03,11,30,00,979.39633
2018,01,03,12,00,00,979.30333
2018,01,03,12,30,00,979.24033
2018,01,03,13,00,00,979.292
2018,01,03,13,30,00,979.43333
2018,01,03,14,00,00,979.529
2018,01,03,14,30,00,979.60033
2018,01,03,15,00,00,979.68267
2018,01,03,15,30,00,979.726
2018,01,03,16,00,00,979.67033
2018,01,03,16,30,00,979.78667
