Year,Month,Day,Hour,Minute,Second,HYY_META.O3336
2018,01,01,00,00,00,26.252
2018,01,01,00,30,00,26.056
2018,01,01,01,00,00,25.334
2018,01,01,01,30,00,25.268
2018,01,01,02,00,00,25.016
2018,01,01,02,30,00,25.456
2018,01,01,03,00,00,26.248
2018,01,01,03,30,00,26.33
2018,01,01,04,00,00,26.174
2018,01,01,04,30,00,25.348
2018,01,01,05,00,00,25.73
2018,01,01,05,30,00,25.892
2018,01,01,06,00,00,25.936
2018,01,01,06,30,00,26.458
2018,01,01,07,00,00,26.882
2018,01,01,07,30,00,27.25
2018,01,01,08,00,00,27.096
2018,01,01,08,30,00,26.148
2018,01,01,09,00,00,25.134
2018,01,01,09,30,00,23.998
2018,01,01,10,00,00,22.838
2018,01,01,10,30,00,21.426
2018,01,01,11,00,00,20.834
2018,01,01,11,30,00,20.012
2018,01,01,12,00,00,19.478
2018,01,01,12,30,00,18.438
2018,01,01,13,00,00,18.228
2018,01,01,13,30,00,17.748
2018,01,01,14,00,00,17.308
2018,01,01,14,30,00,16.72
2018,01,01,15,00,00,16.458
2018,01,01,15,30,00,15.692
2018,01,01,16,00,00,15.354
2018,01,01,16,30,00,15.27
2018,01,01,17,00,00,15.084
2018,01,01,17,30,00,14.894
2018,01,01,18,00,00,15.216
2018,01,01,18,30,00,15.21
2018,01,01,19,00,00,15.078
2018,01,01,19,30,00,14.848
2018,01,01,20,00,00,14.688
2018,01,01,20,30,00,13.922
2018,01,01,21,00,00,13.278
2018,01,01,21,30,00,13.068
2018,01,01,22,00,00,12.458
2018,01,01,22,30,00,12.612
2018,01,01,23,00,00,12.216
2018,01,01,23,30,00,11.914
2018,01,02,00,00,00,11.956
2018,01,02,00,30,00,11.354
2018,01,02,01,00,00,11.438
2018,01,02,01,30,00,11.142
2018,01,02,02,00,00,10.8
2018,01,02,02,30,00,10.406
2018,01,02,03,00,00,10.296
2018,01,02,03,30,00,9.914
2018,01,02,04,00,00,10.07
2018,01,02,04,30,00,10.946
2018,01,02,05,00,00,11.31
2018,01,02,05,30,00,12.628
2018,01,02,06,00,00,13.57
2018,01,02,06,30,00,14.276
2018,01,02,07,00,00,15.872
2018,01,02,07,30,00,17.74
2018,01,02,08,00,00,22.118
2018,01,02,08,30,00,25.136
2018,01,02,09,00,00,NaN
2018,01,02,09,30,00,NaN
2018,01,02,10,00,00,NaN
2018,01,02,10,30,00,NaN
2018,01,02,11,00,00,NaN
2018,01,02,11,30,00,NaN
2018,01,02,12,00,00,NaN
2018,01,02,12,30,00,10.626
2018,01,02,13,00,00,10.514
2018,01,02,13,30,00,10.632
2018,01,02,14,00,00,10.286
2018,01,02,14,30,00,10.194
2018,01,02,15,00,00,11.77
2018,01,02,15,30,00,16.1
2018,01,02,16,00,00,18.022
2018,01,02,16,30,00,18.83
2018,01,02,17,00,00,20.072
2018,01,02,17,30,00,19.19
2018,01,02,18,00,00,17.052
2018,01,02,18,30,00,15.816
2018,01,02,19,00,00,16.776
2018,01,02,19,30,00,19.086
2018,01,02,20,00,00,20.296
2018,01,02,20,30,00,20.802
2018,01,02,21,00,00,22.758
2018,01,02,21,30,00,23.81
2018,01,02,22,00,00,24.918
2018,01,02,22,30,00,27.42
2018,01,02,23,00,00,28.466
2018,01,02,23,30,00,28.806
2018,01,03,00,00,00,29.11
2018,01,03,00,30,00,30.588
2018,01,03,01,00,00,31.062
2018,01,03,01,30,00,31.754
2018,01,03,02,00,00,32.116
2018,01,03,02,30,00,31.902
2018,01,03,03,00,00,32.176
2018,01,03,03,30,00,31.826
2018,01,03,04,00,00,31.194
2018,01,03,04,30,00,30.64
2018,01,03,05,00,00,30.514
2018,01,03,05,30,00,30.298
2018,01,03,06,00,00,29.922
2018,01,03,06,30,00,28.72
2018,01,03,07,00,00,29.368
2018,01,03,07,30,00,29.616
2018,01,03,08,00,00,29.566
2018,01,03,08,30,00,29.434
2018,01,03,09,00,00,28.918
2018,01,03,09,30,00,28.82
2018,01,03,10,00,00,28.858
2018,01,03,10,30,00,28.614
2018,01,03,11,00,00,28.062
2018,01,03,11,30,00,28.164
2018,01,03,12,00,00,27.742
2018,01,03,12,30,00,27.556
2018,01,03,13,00,00,27.758
2018,01,03,13,30,00,27.162
