Year,Month,Day,Hour,Minute,Second,HYY_META.Pamb0
2011,01,01,00,00,00,972.843
2011,01,01,00,30,00,972.43833
2011,01,01,01,00,00,972.07567
2011,01,01,01,30,00,971.63767
2011,01,01,02,00,00,971.50967
2011,01,01,02,30,00,971.442
2011,01,01,03,00,00,971.296
2011,01,01,03,30,00,971.31133
2011,01,01,04,00,00,971.17367
2011,01,01,04,30,00,971.02467
2011,01,01,05,00,00,970.94567
2011,01,01,05,30,00,971.00167
2011,01,01,06,00,00,971.09167
2011,01,01,06,30,00,971.15267
2011,01,01,07,00,00,971.33267
2011,01,01,07,30,00,971.60667
2011,01,01,08,00,00,971.915
2011,01,01,08,30,00,972.13767
2011,01,01,09,00,00,972.431
2011,01,01,09,30,00,972.838
2011,01,01,10,00,00,972.914
2011,01,01,10,30,00,973.22033
2011,01,01,11,00,00,973.445
2011,01,01,11,30,00,973.68333
2011,01,01,12,00,00,973.94433
2011,01,01,12,30,00,974.20567
2011,01,01,13,00,00,974.485
2011,01,01,13,30,00,974.609
2011,01,01,14,00,00,975.05367
2011,01,01,14,30,00,975.401
2011,01,01,15,00,00,975.72933
2011,01,01,15,30,00,975.98567
2011,01,01,16,00,00,976.182
2011,01,01,16,30,00,976.49433
2011,01,01,17,00,00,976.714
2011,01,01,17,30,00,976.95133
2011,01,01,18,00,00,977.19
2011,01,01,18,30,00,977.369
2011,01,01,19,00,00,977.59867
2011,01,01,19,30,00,977.882
2011,01,01,20,00,00,978.12567
2011,01,01,20,30,00,978.33667
2011,01,01,21,00,00,978.53633
2011,01,01,21,30,00,978.791
2011,01,01,22,00,00,979.06267
2011,01,01,22,30,00,979.237
2011,01,01,23,00,00,979.45133
2011,01,01,23,30,00,979.54433
2011,01,02,00,00,00,979.692
2011,01,02,00,30,00,979.82333
2011,01,02,01,00,00,979.84333
2011,01,02,01,30,00,979.988
2011,01,02,02,00,00,980.20433
2011,01,02,02,30,00,980.26967
2011,01,02,03,00,00,980.282
2011,01,02,03,30,00,980.48967
2011,01,02,04,00,00,980.659
2011,01,02,04,30,00,980.76967
2011,01,02,05,00,00,980.90433
2011,01,02,05,30,00,980.928
2011,01,02,06,00,00,980.83033
2011,01,02,06,30,00,980.84867
2011,01,02,07,00,00,981.03567
2011,01,02,07,30,00,981.26833
2011,01,02,08,00,00,981.62033
2011,01,02,08,30,00,981.899
2011,01,02,09,00,00,981.885
2011,01,02,09,30,00,982.11367
2011,01,02,10,00,00,982.326
2011,01,02,10,30,00,982.37967
2011,01,02,11,00,00,982.373
2011,01,02,11,30,00,982.39133
2011,01,02,12,00,00,982.514
2011,01,02,12,30,00,982.59067
2011,01,02,13,00,00,982.72067
2011,01,02,13,30,00,982.74
2011,01,02,14,00,00,982.881
2011,01,02,14,30,00,982.893
2011,01,02,15,00,00,982.979
2011,01,02,15,30,00,983.045
2011,01,02,16,00,00,983.20633
2011,01,02,16,30,00,983.313
2011,01,02,17,00,00,983.49667
2011,01,02,17,30,00,983.581
2011,01,02,18,00,00,983.64267
2011,01,02,18,30,00,983.59333
2011,01,02,19,00,00,983.55067
2011,01,02,19,30,00,983.595
2011,01,02,20,00,00,983.60133
2011,01,02,20,30,00,983.72433
2011,01,02,21,00,00,983.881
2011,01,02,21,30,00,983.99167
2011,01,02,22,00,00,984.05767
2011,01,02,22,30,00,983.99267
2011,01,02,23,00,00,983.986
2011,01,02,23,30,00,984.02
2011,01,03,00,00,00,984.05533
2011,01,03,00,30,00,984.08433
2011,01,03,01,00,00,984.137
2011,01,03,01,30,00,984.151
2011,01,03,02,00,00,984.11667
2011,01,03,02,30,00,984.26067
2011,01,03,03,00,00,984.32567
2011,01,03,03,30,00,984.50667
2011,01,03,04,00,00,984.67167
2011,01,03,04,30,00,984.72167
2011,01,03,05,00,00,984.812
2011,01,03,05,30,00,984.908
2011,01,03,06,00,00,984.83367
2011,01,03,06,30,00,984.858
2011,01,03,07,00,00,984.90133
2011,01,03,07,30,00,985.142
2011,01,03,08,00,00,985.32867
2011,01,03,08,30,00,985.56233
2011,01,03,09,00,00,985.68267
2011,01,03,09,30,00,985.78367
2011,01,03,10,00,00,985.88133
2011,01,03,10,30,00,985.96067
2011,01,03,11,00,00,986.10933
2011,01,03,11,30,00,986.20667
2011,01,03,12,00,00,986.14933
2011,01,03,12,30,00,986.21067
2011,01,03,13,00,00,986.30167
2011,01,03,13,30,00,986.27933
2011,01,03,14,00,00,986.45767
2011,01,03,14,30,00,986.546
2011,01,03,15,00,00,986.79933
2011,01,03,15,30,00,986.79267
2011,01,03,16,00,00,986.863
2011,01,03,16,30,00,986.89533
2011,01,03,17,00,00,986.84967
2011,01,03,17,30,00,986.88733
2011,01,03,18,00,00,986.904
2011,01,03,18,30,00,986.99833
2011,01,03,19,00,00,987.21
2011,01,03,19,30,00,987.32233
2011,01,03,20,00,00,987.39367
2011,01,03,20,30,00,987.528
2011,01,03,21,00,00,987.72667
2011,01,03,21,30,00,987.86333
2011,01,03,22,00,00,988.036
2011,01,03,22,30,00,988.202
2011,01,03,23,00,00,988.12233
2011,01,03,23,30,00,988.17633
2011,01,04,00,00,00,988.37967
2011,01,04,00,30,00,988.35567
2011,01,04,01,00,00,988.41133
2011,01,04,01,30,00,988.456
2011,01,04,02,00,00,988.55133
2011,01,04,02,30,00,988.83767
2011,01,04,03,00,00,988.916
2011,01,04,03,30,00,988.89867
2011,01,04,04,00,00,988.91933
2011,01,04,04,30,00,989.03933
2011,01,04,05,00,00,989.16267
2011,01,04,05,30,00,989.25333
2011,01,04,06,00,00,989.309
2011,01,04,06,30,00,989.375
2011,01,04,07,00,00,989.62967
2011,01,04,07,30,00,989.89067
2011,01,04,08,00,00,990.04233
2011,01,04,08,30,00,990.36967
2011,01,04,09,00,00,990.64267
2011,01,04,09,30,00,990.79933
2011,01,04,10,00,00,991.24067
2011,01,04,10,30,00,991.42867
2011,01,04,11,00,00,991.42533
2011,01,04,11,30,00,991.486
2011,01,04,12,00,00,991.604
2011,01,04,12,30,00,991.695
2011,01,04,13,00,00,991.72467
2011,01,04,13,30,00,991.88367
2011,01,04,14,00,00,991.93067
2011,01,04,14,30,00,992.01067
2011,01,04,15,00,00,992.24533
2011,01,04,15,30,00,992.36033
2011,01,04,16,00,00,992.41633
2011,01,04,16,30,00,992.68133
2011,01,04,17,00,00,992.85033
2011,01,04,17,30,00,992.965
2011,01,04,18,00,00,992.95467
2011,01,04,18,30,00,993.052
2011,01,04,19,00,00,993.26667
2011,01,04,19,30,00,993.42733
2011,01,04,20,00,00,993.59333
2011,01,04,20,30,00,993.648
2011,01,04,21,00,00,993.77833
2011,01,04,21,30,00,993.88967
2011,01,04,22,00,00,993.96767
2011,01,04,22,30,00,994.061
2011,01,04,23,00,00,994.16267
2011,01,04,23,30,00,994.15
2011,01,05,00,00,00,994.182
2011,01,05,00,30,00,994.214
2011,01,05,01,00,00,994.25667
2011,01,05,01,30,00,994.31133
2011,01,05,02,00,00,994.31567
2011,01,05,02,30,00,994.35233
2011,01,05,03,00,00,994.36633
2011,01,05,03,30,00,994.24833
2011,01,05,04,00,00,994.10133
2011,01,05,04,30,00,994.08033
2011,01,05,05,00,00,994.06233
2011,01,05,05,30,00,993.947
2011,01,05,06,00,00,993.77967
2011,01,05,06,30,00,993.804
2011,01,05,07,00,00,993.79933
2011,01,05,07,30,00,993.853
2011,01,05,08,00,00,993.94767
2011,01,05,08,30,00,994.01367
2011,01,05,09,00,00,994.00433
