Year,Month,Day,Hour,Minute,Second,HYY_META.Glob
2011,01,01,00,00,00,1.07967
2011,01,01,00,30,00,0.80567
2011,01,01,01,00,00,0.87133
2011,01,01,01,30,00,0.61333
2011,01,01,02,00,00,0.613
2011,01,01,02,30,00,0.77467
2011,01,01,03,00,00,0.66167
2011,01,01,03,30,00,0.565
2011,01,01,04,00,00,0.484
2011,01,01,04,30,00,0.532
2011,01,01,05,00,00,0.661
2011,01,01,05,30,00,0.40367
2011,01,01,06,00,00,0.32233
2011,01,01,06,30,00,-0.062
2011,01,01,07,00,00,-0.19
2011,01,01,07,30,00,0.371
2011,01,01,08,00,00,0.54867
2011,01,01,08,30,00,0.64533
2011,01,01,09,00,00,0.87033
2011,01,01,09,30,00,2.71967
2011,01,01,10,00,00,6.918
2011,01,01,10,30,00,12.17767
2011,01,01,11,00,00,21.75933
2011,01,01,11,30,00,26.34433
2011,01,01,12,00,00,27.26
2011,01,01,12,30,00,25.02533
2011,01,01,13,00,00,19.57233
2011,01,01,13,30,00,11.56567
2011,01,01,14,00,00,7.046
2011,01,01,14,30,00,4.08733
2011,01,01,15,00,00,2.38367
2011,01,01,15,30,00,0.70967
2011,01,01,16,00,00,0.533
2011,01,01,16,30,00,0.083
2011,01,01,17,00,00,-0.26967
2011,01,01,17,30,00,-1.298
2011,01,01,18,00,00,-0.751
2011,01,01,18,30,00,-1.00833
2011,01,01,19,00,00,0.00233
2011,01,01,19,30,00,-0.158
2011,01,01,20,00,00,-0.045
2011,01,01,20,30,00,0.61367
2011,01,01,21,00,00,0.13133
2011,01,01,21,30,00,0.27667
2011,01,01,22,00,00,0.61333
2011,01,01,22,30,00,0.43767
2011,01,01,23,00,00,0.50067
2011,01,01,23,30,00,0.18
2011,01,02,00,00,00,-1.35433
2011,01,02,00,30,00,-1.49933
2011,01,02,01,00,00,-1.67667
2011,01,02,01,30,00,-2.207
2011,01,02,02,00,00,-2.52767
2011,01,02,02,30,00,-2.319
2011,01,02,03,00,00,-2.785
2011,01,02,03,30,00,-1.85267
2011,01,02,04,00,00,-1.54733
2011,01,02,04,30,00,-0.43733
2011,01,02,05,00,00,-0.98467
2011,01,02,05,30,00,-1.25767
2011,01,02,06,00,00,-1.75733
2011,01,02,06,30,00,-1.837
2011,01,02,07,00,00,-0.856
2011,01,02,07,30,00,-0.67867
2011,01,02,08,00,00,-0.75967
2011,01,02,08,30,00,-0.518
2011,01,02,09,00,00,-0.02033
2011,01,02,09,30,00,2.486
2011,01,02,10,00,00,5.97733
2011,01,02,10,30,00,11.50967
2011,01,02,11,00,00,21.31867
2011,01,02,11,30,00,25.387
