Year,Month,Day,Hour,Minute,Second,HYY_META.SO2168
2011,01,01,00,00,00,0.488
2011,01,01,00,30,00,0.516
2011,01,01,01,00,00,0.528
2011,01,01,01,30,00,0.356
2011,01,01,02,00,00,0.314
2011,01,01,02,30,00,0.28
2011,01,01,03,00,00,0.256
2011,01,01,03,30,00,0.274
2011,01,01,04,00,00,0.274
2011,01,01,04,30,00,0.428
2011,01,01,05,00,00,0.464
2011,01,01,05,30,00,0.462
2011,01,01,06,00,00,0.47
2011,01,01,06,30,00,0.578
2011,01,01,07,00,00,0.356
2011,01,01,07,30,00,0.318
2011,01,01,08,00,00,0.316
2011,01,01,08,30,00,0.494
2011,01,01,09,00,00,0.688
2011,01,01,09,30,00,0.832
2011,01,01,10,00,00,0.784
2011,01,01,10,30,00,0.65
2011,01,01,11,00,00,0.574
2011,01,01,11,30,00,0.544
2011,01,01,12,00,00,0.37
2011,01,01,12,30,00,0.452
2011,01,01,13,00,00,0.482
2011,01,01,13,30,00,0.58
2011,01,01,14,00,00,1.054
2011,01,01,14,30,00,1.366
2011,01,01,15,00,00,1.584
2011,01,01,15,30,00,1.578
2011,01,01,16,00,00,1.732
2011,01,01,16,30,00,1.828
2011,01,01,17,00,00,1.684
2011,01,01,17,30,00,1.48
2011,01,01,18,00,00,1.372
2011,01,01,18,30,00,1.27
2011,01,01,19,00,00,1.2
2011,01,01,19,30,00,1.154
2011,01,01,20,00,00,1.142
2011,01,01,20,30,00,1.232
2011,01,01,21,00,00,1.15
2011,01,01,21,30,00,0.88
2011,01,01,22,00,00,0.768
2011,01,01,22,30,00,0.596
2011,01,01,23,00,00,0.438
2011,01,01,23,30,00,0.484
2011,01,02,00,00,00,0.518
2011,01,02,00,30,00,0.376
2011,01,02,01,00,00,0.422
2011,01,02,01,30,00,0.53
2011,01,02,02,00,00,0.548
2011,01,02,02,30,00,0.658
2011,01,02,03,00,00,0.672
2011,01,02,03,30,00,0.792
2011,01,02,04,00,00,0.832
2011,01,02,04,30,00,0.716
2011,01,02,05,00,00,0.876
2011,01,02,05,30,00,0.974
2011,01,02,06,00,00,1.076
2011,01,02,06,30,00,1.14
2011,01,02,07,00,00,1.162
2011,01,02,07,30,00,0.868
2011,01,02,08,00,00,0.892
2011,01,02,08,30,00,0.92
2011,01,02,09,00,00,0.866
2011,01,02,09,30,00,0.866
2011,01,02,10,00,00,0.766
2011,01,02,10,30,00,1.044
2011,01,02,11,00,00,1.282
2011,01,02,11,30,00,1.504
2011,01,02,12,00,00,2
2011,01,02,12,30,00,2
2011,01,02,13,00,00,1.328
2011,01,02,13,30,00,1.004
2011,01,02,14,00,00,1.302
2011,01,02,14,30,00,1.384
2011,01,02,15,00,00,1.128
2011,01,02,15,30,00,1.18
2011,01,02,16,00,00,1.166
2011,01,02,16,30,00,1.614
2011,01,02,17,00,00,1.268
2011,01,02,17,30,00,0.92
2011,01,02,18,00,00,0.776
2011,01,02,18,30,00,0.674
2011,01,02,19,00,00,0.634
2011,01,02,19,30,00,0.646
2011,01,02,20,00,00,0.618
2011,01,02,20,30,00,0.652
2011,01,02,21,00,00,0.668
2011,01,02,21,30,00,0.628
2011,01,02,22,00,00,0.536
2011,01,02,22,30,00,0.588
2011,01,02,23,00,00,0.616
2011,01,02,23,30,00,0.736
2011,01,03,00,00,00,0.672
2011,01,03,00,30,00,0.698
2011,01,03,01,00,00,0.696
2011,01,03,01,30,00,0.592
2011,01,03,02,00,00,0.5
2011,01,03,02,30,00,0.326
2011,01,03,03,00,00,0.25
2011,01,03,03,30,00,0.202
2011,01,03,04,00,00,0.272
2011,01,03,04,30,00,0.276
2011,01,03,05,00,00,0.302
2011,01,03,05,30,00,0.382
2011,01,03,06,00,00,0.416
2011,01,03,06,30,00,0.42
2011,01,03,07,00,00,0.386
2011,01,03,07,30,00,0.312
2011,01,03,08,00,00,0.356
2011,01,03,08,30,00,0.618
2011,01,03,09,00,00,0.662
2011,01,03,09,30,00,0.384
2011,01,03,10,00,00,0.308
2011,01,03,10,30,00,0.294
2011,01,03,11,00,00,0.306
2011,01,03,11,30,00,0.262
2011,01,03,12,00,00,0.28
2011,01,03,12,30,00,0.27
2011,01,03,13,00,00,0.284
2011,01,03,13,30,00,0.288
2011,01,03,14,00,00,0.268
2011,01,03,14,30,00,0.256
2011,01,03,15,00,00,0.252
2011,01,03,15,30,00,0.308
2011,01,03,16,00,00,0.254
2011,01,03,16,30,00,0.23
2011,01,03,17,00,00,0.346
2011,01,03,17,30,00,0.256
2011,01,03,18,00,00,0.394
2011,01,03,18,30,00,0.35
2011,01,03,19,00,00,0.31
2011,01,03,19,30,00,0.132
2011,01,03,20,00,00,0.278
2011,01,03,20,30,00,0.178
2011,01,03,21,00,00,0.176
2011,01,03,21,30,00,0.16
2011,01,03,22,00,00,0.176
2011,01,03,22,30,00,0.12
2011,01,03,23,00,00,0.122
2011,01,03,23,30,00,0.146
2011,01,04,00,00,00,0.242
2011,01,04,00,30,00,0.182
2011,01,04,01,00,00,0.284
2011,01,04,01,30,00,0.15
2011,01,04,02,00,00,0.162
2011,01,04,02,30,00,0.228
2011,01,04,03,00,00,0.242
2011,01,04,03,30,00,0.314
2011,01,04,04,00,00,0.394
2011,01,04,04,30,00,0.344
2011,01,04,05,00,00,0.216
2011,01,04,05,30,00,0.128
2011,01,04,06,00,00,0.386
2011,01,04,06,30,00,0.336
2011,01,04,07,00,00,0.284
2011,01,04,07,30,00,0.256
2011,01,04,08,00,00,0.246
2011,01,04,08,30,00,0.434
2011,01,04,09,00,00,0.482
