Year,Month,Day,Hour,Minute,Second,HYY_META.T336
2018,01,01,00,00,00,-2.34333
2018,01,01,00,30,00,-2.364
2018,01,01,01,00,00,-2.40467
2018,01,01,01,30,00,-2.383
2018,01,01,02,00,00,-2.32267
2018,01,01,02,30,00,-2.31533
2018,01,01,03,00,00,-2.366
2018,01,01,03,30,00,-2.469
2018,01,01,04,00,00,-2.551
2018,01,01,04,30,00,-2.52033
2018,01,01,05,00,00,-2.606
2018,01,01,05,30,00,-2.627
2018,01,01,06,00,00,-2.69867
2018,01,01,06,30,00,-2.726
2018,01,01,07,00,00,-2.79533
2018,01,01,07,30,00,-2.82033
2018,01,01,08,00,00,-2.75133
2018,01,01,08,30,00,-2.601
2018,01,01,09,00,00,-2.478
2018,01,01,09,30,00,-2.405
2018,01,01,10,00,00,-2.28967
2018,01,01,10,30,00,-2.20333
2018,01,01,11,00,00,-2.08833
2018,01,01,11,30,00,-1.982
2018,01,01,12,00,00,-1.90333
2018,01,01,12,30,00,-1.86233
2018,01,01,13,00,00,-1.80333
2018,01,01,13,30,00,-1.70767
2018,01,01,14,00,00,-1.63133
2018,01,01,14,30,00,-1.56733
2018,01,01,15,00,00,-1.48233
2018,01,01,15,30,00,-1.40867
2018,01,01,16,00,00,-1.35167
2018,01,01,16,30,00,-1.27733
2018,01,01,17,00,00,-1.22
2018,01,01,17,30,00,-1.20133
2018,01,01,18,00,00,-1.14467
2018,01,01,18,30,00,-1.09267
2018,01,01,19,00,00,-1.07967
2018,01,01,19,30,00,-1.054
2018,01,01,20,00,00,-1.05867
2018,01,01,20,30,00,-1.01167
2018,01,01,21,00,00,-0.94833
2018,01,01,21,30,00,-0.91367
2018,01,01,22,00,00,-0.92233
2018,01,01,22,30,00,-0.957
2018,01,01,23,00,00,-0.96967
2018,01,01,23,30,00,-0.93733
2018,01,02,00,00,00,-0.93433
2018,01,02,00,30,00,-0.94467
2018,01,02,01,00,00,-0.90967
2018,01,02,01,30,00,-0.879
2018,01,02,02,00,00,-0.85833
2018,01,02,02,30,00,-0.78067
2018,01,02,03,00,00,-0.649
2018,01,02,03,30,00,-0.55133
2018,01,02,04,00,00,-0.43833
2018,01,02,04,30,00,-0.28167
2018,01,02,05,00,00,-0.204
2018,01,02,05,30,00,-0.15767
2018,01,02,06,00,00,-0.114
2018,01,02,06,30,00,-0.10033
2018,01,02,07,00,00,-0.07
