Year,Month,Day,Hour,Minute,Second,HYY_META.WDU336
2018,01,01,00,00,00,170.96633
2018,01,01,00,30,00,147.76467
2018,01,01,01,00,00,143.74433
2018,01,01,01,30,00,146.037
2018,01,01,02,00,00,150.43567
2018,01,01,02,30,00,152.15
2018,01,01,03,00,00,151.06
2018,01,01,03,30,00,153.39233
2018,01,01,04,00,00,146.338
2018,01,01,04,30,00,153.736
2018,01,01,05,00,00,142.07233
2018,01,01,05,30,00,139.16767
2018,01,01,06,00,00,140.299
2018,01,01,06,30,00,133.90233
2018,01,01,07,00,00,126.78633
2018,01,01,07,30,00,120.588
2018,01,01,08,00,00,118.16
2018,01,01,08,30,00,119.014
2018,01,01,09,00,00,123.93633
2018,01,01,09,30,00,127.20067
2018,01,01,10,00,00,130.174
2018,01,01,10,30,00,132.31433
2018,01,01,11,00,00,135.59467
2018,01,01,11,30,00,137.45667
2018,01,01,12,00,00,138.73767
2018,01,01,12,30,00,127.90533
2018,01,01,13,00,00,121.07533
2018,01,01,13,30,00,131.197
2018,01,01,14,00,00,131.07167
2018,01,01,14,30,00,125.91433
2018,01,01,15,00,00,130.07367
2018,01,01,15,30,00,131.894
2018,01,01,16,00,00,126.16067
2018,01,01,16,30,00,121.436
2018,01,01,17,00,00,126.54267
2018,01,01,17,30,00,127.454
2018,01,01,18,00,00,123.90933
2018,01,01,18,30,00,117.24133
2018,01,01,19,00,00,119.57367
2018,01,01,19,30,00,112.286
2018,01,01,20,00,00,111.148
2018,01,01,20,30,00,106.232
2018,01,01,21,00,00,103.148
2018,01,01,21,30,00,96.993
2018,01,01,22,00,00,93.652
2018,01,01,22,30,00,95.38267
2018,01,01,23,00,00,98.64367
2018,01,01,23,30,00,102.80033
2018,01,02,00,00,00,100.55
2018,01,02,00,30,00,104.987
2018,01,02,01,00,00,108.89233
2018,01,02,01,30,00,114.66633
2018,01,02,02,00,00,115.222
2018,01,02,02,30,00,123.16067
2018,01,02,03,00,00,125.71033
2018,01,02,03,30,00,136.41633
2018,01,02,04,00,00,155.81833
2018,01,02,04,30,00,161.265
2018,01,02,05,00,00,177.77333
2018,01,02,05,30,00,169.843
2018,01,02,06,00,00,189.63333
2018,01,02,06,30,00,191.87533
2018,01,02,07,00,00,201.31867
2018,01,02,07,30,00,211.86567
2018,01,02,08,00,00,211.779
2018,01,02,08,30,00,212.10933
2018,01,02,09,00,00,222.997
2018,01,02,09,30,00,233.53567
2018,01,02,10,00,00,232.01444
2018,01,02,10,30,00,272.53733
2018,01,02,11,00,00,289.215
2018,01,02,11,30,00,291.32033
2018,01,02,12,00,00,295.19033
2018,01,02,12,30,00,288.94367
2018,01,02,13,00,00,272.68767
2018,01,02,13,30,00,267.508
2018,01,02,14,00,00,252.53333
2018,01,02,14,30,00,249.796
2018,01,02,15,00,00,246.61567
2018,01,02,15,30,00,252.319
2018,01,02,16,00,00,241.396
2018,01,02,16,30,00,234.69567
2018,01,02,17,00,00,214.23233
2018,01,02,17,30,00,172.77467
2018,01,02,18,00,00,178.862
2018,01,02,18,30,00,175.774
2018,01,02,19,00,00,194.996
2018,01,02,19,30,00,207.52533
2018,01,02,20,00,00,190.40233
2018,01,02,20,30,00,173.922
2018,01,02,21,00,00,189.79067
2018,01,02,21,30,00,190.79167
2018,01,02,22,00,00,203.34467
2018,01,02,22,30,00,208.30767
2018,01,02,23,00,00,209.594
2018,01,02,23,30,00,192.19333
2018,01,03,00,00,00,203.81267
2018,01,03,00,30,00,209.284
2018,01,03,01,00,00,210.015
2018,01,03,01,30,00,206.98433
2018,01,03,02,00,00,207.18167
2018,01,03,02,30,00,207.86067
2018,01,03,03,00,00,206.56533
2018,01,03,03,30,00,210.83767
2018,01,03,04,00,00,210.76833
2018,01,03,04,30,00,212.883
2018,01,03,05,00,00,212.39067
2018,01,03,05,30,00,211.359
2018,01,03,06,00,00,208.93667
2018,01,03,06,30,00,212.37433
2018,01,03,07,00,00,211.525
2018,01,03,07,30,00,210.66167
2018,01,03,08,00,00,207.801
2018,01,03,08,30,00,203.91067
2018,01,03,09,00,00,210.18767
2018,01,03,09,30,00,211.4
2018,01,03,10,00,00,211.13167
2018,01,03,10,30,00,212.91933
2018,01,03,11,00,00,212.661
2018,01,03,11,30,00,211.09533
2018,01,03,12,00,00,209.328
2018,01,03,12,30,00,210.68967
2018,01,03,13,00,00,204.71733
2018,01,03,13,30,00,199.50833
2018,01,03,14,00,00,185.97267
2018,01,03,14,30,00,161.894
2018,01,03,15,00,00,147.46267
2018,01,03,15,30,00,148.72667
2018,01,03,16,00,00,148.24767
2018,01,03,16,30,00,142.28167
2018,01,03,17,00,00,144.39733
2018,01,03,17,30,00,151.528
2018,01,03,18,00,00,145.043
2018,01,03,18,30,00,143.15367
2018,01,03,19,00,00,144.645
2018,01,03,19,30,00,149.15067
2018,01,03,20,00,00,137.58633
2018,01,03,20,30,00,137.70833
2018,01,03,21,00,00,134.13733
2018,01,03,21,30,00,142.06267
2018,01,03,22,00,00,128.20367
2018,01,03,22,30,00,128.353
2018,01,03,23,00,00,129.73033
2018,01,03,23,30,00,127.628
2018,01,04,00,00,00,120.41833
2018,01,04,00,30,00,120.03967
2018,01,04,01,00,00,121.572
2018,01,04,01,30,00,120.99667
2018,01,04,02,00,00,116.28967
2018,01,04,02,30,00,111.83733
2018,01,04,03,00,00,107.03633
2018,01,04,03,30,00,102.72267
2018,01,04,04,00,00,105.51567
2018,01,04,04,30,00,105.424
2018,01,04,05,00,00,111.26933
2018,01,04,05,30,00,114.979
2018,01,04,06,00,00,121.35767
2018,01,04,06,30,00,115.35467
2018,01,04,07,00,00,119.01233
2018,01,04,07,30,00,111.21733
2018,01,04,08,00,00,100.23167
2018,01,04,08,30,00,97.67767
2018,01,04,09,00,00,87.149
2018,01,04,09,30,00,84.90967
2018,01,04,10,00,00,90.52267
2018,01,04,10,30,00,88.891
2018,01,04,11,00,00,89.741
2018,01,04,11,30,00,107.388
2018,01,04,12,00,00,106.73667
2018,01,04,12,30,00,99.649
2018,01,04,13,00,00,96.94267
2018,01,04,13,30,00,97.43167
2018,01,04,14,00,00,97.129
2018,01,04,14,30,00,100.14633
2018,01,04,15,00,00,101.727
2018,01,04,15,30,00,99.425
2018,01,04,16,00,00,97.35967
2018,01,04,16,30,00,103.07367
2018,01,04,17,00,00,97.82
2018,01,04,17,30,00,91.78667
2018,01,04,18,00,00,85.45467
2018,01,04,18,30,00,93.87367
2018,01,04,19,00,00,91.53
2018,01,04,19,30,00,89.326
2018,01,04,20,00,00,92.192
2018,01,04,20,30,00,94.29733
2018,01,04,21,00,00,96.333
2018,01,04,21,30,00,97.455
2018,01,04,22,00,00,97.70567
2018,01,04,22,30,00,99.12067
2018,01,04,23,00,00,100.909
2018,01,04,23,30,00,103.32533
2018,01,05,00,00,00,105.65533
2018,01,05,00,30,00,107.01
2018,01,05,01,00,00,109.80867
2018,01,05,01,30,00,108.16033
2018,01,05,02,00,00,107.15233
2018,01,05,02,30,00,107.746
2018,01,05,03,00,00,109.156
2018,01,05,03,30,00,112.599
2018,01,05,04,00,00,112.74233
2018,01,05,04,30,00,110.35733
2018,01,05,05,00,00,110.32333
2018,01,05,05,30,00,108.312
2018,01,05,06,00,00,112.719
2018,01,05,06,30,00,112.255
2018,01,05,07,00,00,117.482
2018,01,05,07,30,00,120.20933
2018,01,05,08,00,00,124.75333
2018,01,05,08,30,00,131.244
2018,01,05,09,00,00,133.20733
2018,01,05,09,30,00,135.12633
2018,01,05,10,00,00,137.29767
2018,01,05,10,30,00,140.69867
2018,01,05,11,00,00,138.871
2018,01,05,11,30,00,141.568
2018,01,05,12,00,00,146.92767
2018,01,05,12,30,00,147.348
2018,01,05,13,00,00,147.82467
2018,01,05,13,30,00,146.67567
2018,01,05,14,00,00,150.327
2018,01,05,14,30,00,159.206
2018,01,05,15,00,00,166.36567
2018,01,05,15,30,00,162.45767
2018,01,05,16,00,00,157.87333
2018,01,05,16,30,00,155.73233
2018,01,05,17,00,00,155.462
2018,01,05,17,30,00,148.58633
2018,01,05,18,00,00,142.42267
2018,01,05,18,30,00,132.55633
2018,01,05,19,00,00,131.58467
2018,01,05,19,30,00,145.143
2018,01,05,20,00,00,147.32633
2018,01,05,20,30,00,143.63233
2018,01,05,21,00,00,142.05267
2018,01,05,21,30,00,140.47533
2018,01,05,22,00,00,143.76533
2018,01,05,22,30,00,141.38267
2018,01,05,23,00,00,139.29833
2018,01,05,23,30,00,142.33567
2018,01,06,00,00,00,136.49433
2018,01,06,00,30,00,136.50567
2018,01,06,01,00,00,133.28267
2018,01,06,01,30,00,130.81033
2018,01,06,02,00,00,126.517
2018,01,06,02,30,00,130.42667
2018,01,06,03,00,00,132.62633
2018,01,06,03,30,00,136.41267
2018,01,06,04,00,00,146.92633
2018,01,06,04,30,00,150.18133
2018,01,06,05,00,00,152.964
2018,01,06,05,30,00,159.65833
2018,01,06,06,00,00,192.26867
2018,01,06,06,30,00,196.71267
2018,01,06,07,00,00,207.53633
2018,01,06,07,30,00,206.56133
2018,01,06,08,00,00,214.32667
2018,01,06,08,30,00,213.7
2018,01,06,09,00,00,220.22533
2018,01,06,09,30,00,233.04033
2018,01,06,10,00,00,255.889
2018,01,06,10,30,00,272.27167
2018,01,06,11,00,00,288.70467
2018,01,06,11,30,00,297.529
2018,01,06,12,00,00,301.36567
2018,01,06,12,30,00,293.73033
2018,01,06,13,00,00,290.92467
2018,01,06,13,30,00,288.60833
2018,01,06,14,00,00,299.30967
2018,01,06,14,30,00,301.22833
2018,01,06,15,00,00,306.025
2018,01,06,15,30,00,298.371
2018,01,06,16,00,00,302.47433
2018,01,06,16,30,00,307.39367
2018,01,06,17,00,00,299.86833
2018,01,06,17,30,00,303.17833
2018,01,06,18,00,00,299.26167
2018,01,06,18,30,00,301.809
2018,01,06,19,00,00,299.81567
2018,01,06,19,30,00,309.32367
2018,01,06,20,00,00,308.57967
2018,01,06,20,30,00,306.202
2018,01,06,21,00,00,309.654
2018,01,06,21,30,00,306.62233
2018,01,06,22,00,00,304.42667
2018,01,06,22,30,00,306.23767
2018,01,06,23,00,00,317.59167
2018,01,06,23,30,00,322.65633
2018,01,07,00,00,00,316.446
2018,01,07,00,30,00,311.18133
2018,01,07,01,00,00,306.64167
2018,01,07,01,30,00,306.87767
2018,01,07,02,00,00,294.72233
2018,01,07,02,30,00,290.14967
2018,01,07,03,00,00,291.09367
