Year,Month,Day,Hour,Minute,Second,HYY_META.WSU336
2018,01,01,00,00,00,2.23367
2018,01,01,00,30,00,3.91567
2018,01,01,01,00,00,3.70233
2018,01,01,01,30,00,3.886
2018,01,01,02,00,00,3.67133
2018,01,01,02,30,00,3.38767
2018,01,01,03,00,00,4.29533
2018,01,01,03,30,00,3.95267
2018,01,01,04,00,00,4.30667
2018,01,01,04,30,00,3.74067
2018,01,01,05,00,00,3.99033
2018,01,01,05,30,00,3.89367
2018,01,01,06,00,00,3.429
2018,01,01,06,30,00,4.10267
2018,01,01,07,00,00,4.118
2018,01,01,07,30,00,4.213
2018,01,01,08,00,00,4.29633
2018,01,01,08,30,00,4.50233
2018,01,01,09,00,00,4.88933
2018,01,01,09,30,00,4.26467
2018,01,01,10,00,00,4.402
2018,01,01,10,30,00,3.54033
2018,01,01,11,00,00,3.608
2018,01,01,11,30,00,3.585
2018,01,01,12,00,00,3.06067
2018,01,01,12,30,00,3.03867
2018,01,01,13,00,00,3.30467
2018,01,01,13,30,00,3.48167
2018,01,01,14,00,00,3.53433
2018,01,01,14,30,00,3.201
2018,01,01,15,00,00,3.90433
2018,01,01,15,30,00,3.79667
2018,01,01,16,00,00,3.53433
2018,01,01,16,30,00,3.56967
2018,01,01,17,00,00,3.55567
2018,01,01,17,30,00,3.09167
2018,01,01,18,00,00,3.65167
2018,01,01,18,30,00,3.831
2018,01,01,19,00,00,3.66733
2018,01,01,19,30,00,3.767
2018,01,01,20,00,00,3.68233
2018,01,01,20,30,00,3.63967
2018,01,01,21,00,00,3.199
2018,01,01,21,30,00,3.538
2018,01,01,22,00,00,3.49667
2018,01,01,22,30,00,3.53233
2018,01,01,23,00,00,3.78233
2018,01,01,23,30,00,3.82333
2018,01,02,00,00,00,3.823
2018,01,02,00,30,00,3.37367
2018,01,02,01,00,00,3.341
2018,01,02,01,30,00,3.33667
2018,01,02,02,00,00,3.15467
2018,01,02,02,30,00,3.36133
2018,01,02,03,00,00,3.54033
2018,01,02,03,30,00,3.06133
2018,01,02,04,00,00,2.10567
2018,01,02,04,30,00,2.09
2018,01,02,05,00,00,1.26067
2018,01,02,05,30,00,1.435
2018,01,02,06,00,00,1.00767
2018,01,02,06,30,00,0.92633
2018,01,02,07,00,00,0.899
2018,01,02,07,30,00,0.96633
2018,01,02,08,00,00,1.26067
2018,01,02,08,30,00,1.46133
2018,01,02,09,00,00,1.963
2018,01,02,09,30,00,1.773
2018,01,02,10,00,00,2.14852
2018,01,02,10,30,00,2.29833
2018,01,02,11,00,00,2.814
2018,01,02,11,30,00,4.07
2018,01,02,12,00,00,4.30067
2018,01,02,12,30,00,4.53633
2018,01,02,13,00,00,3.82567
2018,01,02,13,30,00,3.79633
2018,01,02,14,00,00,3.591
2018,01,02,14,30,00,4.092
2018,01,02,15,00,00,4.31967
2018,01,02,15,30,00,3.447
2018,01,02,16,00,00,2.609
2018,01,02,16,30,00,2.34033
2018,01,02,17,00,00,1.02267
2018,01,02,17,30,00,1.32
2018,01,02,18,00,00,1.49767
2018,01,02,18,30,00,1.57267
2018,01,02,19,00,00,1.297
2018,01,02,19,30,00,1.292
2018,01,02,20,00,00,1.40933
2018,01,02,20,30,00,1.80067
2018,01,02,21,00,00,1.564
2018,01,02,21,30,00,1.35233
2018,01,02,22,00,00,1.26467
2018,01,02,22,30,00,1.389
2018,01,02,23,00,00,1.24833
2018,01,02,23,30,00,1.57833
2018,01,03,00,00,00,1.61633
2018,01,03,00,30,00,1.91733
2018,01,03,01,00,00,1.78733
2018,01,03,01,30,00,1.51433
2018,01,03,02,00,00,1.70533
2018,01,03,02,30,00,1.788
2018,01,03,03,00,00,1.912
2018,01,03,03,30,00,2.458
2018,01,03,04,00,00,2.60867
2018,01,03,04,30,00,2.951
2018,01,03,05,00,00,2.965
2018,01,03,05,30,00,2.04667
