Year,Month,Day,Hour,Minute,Second,HYY_META.T336
2022,01,01,00,00,00,-6.275
2022,01,01,00,30,00,-6.12267
2022,01,01,01,00,00,-5.90067
2022,01,01,01,30,00,-5.82333
2022,01,01,02,00,00,-5.76433
2022,01,01,02,30,00,-5.592
2022,01,01,03,00,00,-5.45167
2022,01,01,03,30,00,-5.65167
2022,01,01,04,00,00,-6.02267
2022,01,01,04,30,00,-6.02733
2022,01,01,05,00,00,-6.08833
2022,01,01,05,30,00,-6.074
2022,01,01,06,00,00,-6.297
2022,01,01,06,30,00,-6.755
2022,01,01,07,00,00,-7.39067
2022,01,01,07,30,00,-7.96433
2022,01,01,08,00,00,-8.293
2022,01,01,08,30,00,-8.10967
2022,01,01,09,00,00,-7.78933
2022,01,01,09,30,00,-7.35
2022,01,01,10,00,00,-7.018
2022,01,01,10,30,00,-6.92067
2022,01,01,11,00,00,-6.784
2022,01,01,11,30,00,-6.781
2022,01,01,12,00,00,-6.90567
2022,01,01,12,30,00,-6.87933
2022,01,01,13,00,00,-6.79367
2022,01,01,13,30,00,-6.767
2022,01,01,14,00,00,-6.794
2022,01,01,14,30,00,-6.76733
2022,01,01,15,00,00,-6.76933
2022,01,01,15,30,00,-6.93267
2022,01,01,16,00,00,-7.39067
2022,01,01,16,30,00,-7.97133
2022,01,01,17,00,00,-8.163
2022,01,01,17,30,00,-8.25833
2022,01,01,18,00,00,-8.54
2022,01,01,18,30,00,-8.63733
2022,01,01,19,00,00,-8.70367
2022,01,01,19,30,00,-8.562
2022,01,01,20,00,00,-8.47733
2022,01,01,20,30,00,-8.38733
2022,01,01,21,00,00,-8.27767
2022,01,01,21,30,00,-8.61667
2022,01,01,22,00,00,-8.936
2022,01,01,22,30,00,-9.44633
2022,01,01,23,00,00,-10.158
2022,01,01,23,30,00,-10.58967
2022,01,02,00,00,00,-11.20667
2022,01,02,00,30,00,-11.38767
2022,01,02,01,00,00,-10.57067
2022,01,02,01,30,00,-10.35667
2022,01,02,02,00,00,-9.85067
2022,01,02,02,30,00,-10.265
2022,01,02,03,00,00,-10.71267
2022,01,02,03,30,00,-11.46467
2022,01,02,04,00,00,-11.50067
2022,01,02,04,30,00,-11.62433
2022,01,02,05,00,00,-11.73467
2022,01,02,05,30,00,-11.69533
2022,01,02,06,00,00,-11.32067
2022,01,02,06,30,00,-10.96833
2022,01,02,07,00,00,-10.66833
2022,01,02,07,30,00,-10.997
2022,01,02,08,00,00,-10.78533
2022,01,02,08,30,00,-10.555
2022,01,02,09,00,00,-10.447
2022,01,02,09,30,00,-10.244
2022,01,02,10,00,00,-9.821
2022,01,02,10,30,00,-9.60233
2022,01,02,11,00,00,-9.27133
2022,01,02,11,30,00,-8.96
2022,01,02,12,00,00,-8.564
2022,01,02,12,30,00,-8.15867
2022,01,02,13,00,00,-7.81933
2022,01,02,13,30,00,-7.42333
2022,01,02,14,00,00,-7.08533
2022,01,02,14,30,00,-6.82833
2022,01,02,15,00,00,-6.658
2022,01,02,15,30,00,-6.569
2022,01,02,16,00,00,-6.569
2022,01,02,16,30,00,-6.497
2022,01,02,17,00,00,-6.40033
2022,01,02,17,30,00,-6.26233
2022,01,02,18,00,00,-6.11267
2022,01,02,18,30,00,-6.035
2022,01,02,19,00,00,-5.97267
2022,01,02,19,30,00,-5.99333
2022,01,02,20,00,00,-5.94967
2022,01,02,20,30,00,-5.906
2022,01,02,21,00,00,-5.89
2022,01,02,21,30,00,-5.833
2022,01,02,22,00,00,-5.76233
2022,01,02,22,30,00,-5.70733
2022,01,02,23,00,00,-5.66267
2022,01,02,23,30,00,-5.62267
2022,01,03,00,00,00,-5.604
2022,01,03,00,30,00,-5.59667
2022,01,03,01,00,00,-5.57267
2022,01,03,01,30,00,-5.56667
2022,01,03,02,00,00,-5.59167
