Year,Month,Day,Hour,Minute,Second,HYY_META.Glob
2022,01,01,00,00,00,-2.57366
2022,01,01,00,30,00,-1.90378
2022,01,01,01,00,00,0.37186
2022,01,01,01,30,00,0.03853
2022,01,01,02,00,00,-1.01923
2022,01,01,02,30,00,-2.43774
2022,01,01,03,00,00,-2.09837
2022,01,01,03,30,00,0.62611
2022,01,01,04,00,00,-1.22751
2022,01,01,04,30,00,-0.95019
2022,01,01,05,00,00,0.11096
2022,01,01,05,30,00,-2.91948
2022,01,01,06,00,00,-3.29321
2022,01,01,06,30,00,-1.84969
2022,01,01,07,00,00,-1.70392
2022,01,01,07,30,00,-2.47778
2022,01,01,08,00,00,-2.73637
2022,01,01,08,30,00,-0.2843
2022,01,01,09,00,00,-0.61242
2022,01,01,09,30,00,5.79902
2022,01,01,10,00,00,14.27168
2022,01,01,10,30,00,27.66097
2022,01,01,11,00,00,40.60771
2022,01,01,11,30,00,34.33178
2022,01,01,12,00,00,31.272
2022,01,01,12,30,00,31.39939
2022,01,01,13,00,00,27.47145
2022,01,01,13,30,00,22.79323
2022,01,01,14,00,00,16.48468
2022,01,01,14,30,00,8.55633
2022,01,01,15,00,00,0.58318
2022,01,01,15,30,00,-0.03353
2022,01,01,16,00,00,-2.33714
2022,01,01,16,30,00,-3.39798
2022,01,01,17,00,00,-2.97419
2022,01,01,17,30,00,-2.67926
2022,01,01,18,00,00,-2.66591
2022,01,01,18,30,00,-3.6975
2022,01,01,19,00,00,-3.06179
2022,01,01,19,30,00,-2.35311
2022,01,01,20,00,00,-1.80692
2022,01,01,20,30,00,-1.46102
2022,01,01,21,00,00,-3.34436
2022,01,01,21,30,00,-1.68076
2022,01,01,22,00,00,-4.94616
2022,01,01,22,30,00,-5.11073
2022,01,01,23,00,00,-5.46117
2022,01,01,23,30,00,-6.3412
2022,01,02,00,00,00,-9.28535
2022,01,02,00,30,00,-7.33032
2022,01,02,01,00,00,-7.86161
2022,01,02,01,30,00,-9.67105
2022,01,02,02,00,00,-11.60607
2022,01,02,02,30,00,-9.6281
2022,01,02,03,00,00,-4.88363
2022,01,02,03,30,00,0.85055
2022,01,02,04,00,00,-1.70582
2022,01,02,04,30,00,1.38018
2022,01,02,05,00,00,0.83499
2022,01,02,05,30,00,1.64131
2022,01,02,06,00,00,1.38906
2022,01,02,06,30,00,1.46758
2022,01,02,07,00,00,-0.01069
2022,01,02,07,30,00,0.73041
2022,01,02,08,00,00,1.06754
2022,01,02,08,30,00,1.78126
2022,01,02,09,00,00,2.40659
2022,01,02,09,30,00,4.48462
2022,01,02,10,00,00,6.49532
2022,01,02,10,30,00,10.98887
2022,01,02,11,00,00,23.51416
2022,01,02,11,30,00,26.90161
2022,01,02,12,00,00,41.80242
2022,01,02,12,30,00,53.42037
2022,01,02,13,00,00,34.35523
2022,01,02,13,30,00,19.72625
2022,01,02,14,00,00,11.66036
2022,01,02,14,30,00,7.344
2022,01,02,15,00,00,3.91429
2022,01,02,15,30,00,3.08199
2022,01,02,16,00,00,3.06654
2022,01,02,16,30,00,2.7432
2022,01,02,17,00,00,2.68262
2022,01,02,17,30,00,2.98255
2022,01,02,18,00,00,2.78165
2022,01,02,18,30,00,2.70177
2022,01,02,19,00,00,2.61603
2022,01,02,19,30,00,2.61049
2022,01,02,20,00,00,2.68748
2022,01,02,20,30,00,2.66287
2022,01,02,21,00,00,2.66435
2022,01,02,21,30,00,2.61775
2022,01,02,22,00,00,2.55438
2022,01,02,22,30,00,2.59644
2022,01,02,23,00,00,2.45822
2022,01,02,23,30,00,2.03958
2022,01,03,00,00,00,-0.33422
2022,01,03,00,30,00,-0.13191
2022,01,03,01,00,00,-0.37145
2022,01,03,01,30,00,-0.18551
2022,01,03,02,00,00,-0.29735
2022,01,03,02,30,00,-0.23324
2022,01,03,03,00,00,-0.26803
2022,01,03,03,30,00,-0.47245
2022,01,03,04,00,00,-0.62452
2022,01,03,04,30,00,-0.22523
2022,01,03,05,00,00,-0.5119
2022,01,03,05,30,00,-0.57561
2022,01,03,06,00,00,-0.46919
2022,01,03,06,30,00,-0.58213
2022,01,03,07,00,00,-0.08323
2022,01,03,07,30,00,-0.15883
2022,01,03,08,00,00,-0.85826
2022,01,03,08,30,00,-0.70789
2022,01,03,09,00,00,-0.50657
2022,01,03,09,30,00,1.37617
2022,01,03,10,00,00,4.08037
2022,01,03,10,30,00,7.63779
2022,01,03,11,00,00,12.41107
2022,01,03,11,30,00,16.58095
2022,01,03,12,00,00,19.19691
2022,01,03,12,30,00,24.52941
2022,01,03,13,00,00,23.80596
2022,01,03,13,30,00,23.01707
2022,01,03,14,00,00,10.46183
2022,01,03,14,30,00,4.84679
2022,01,03,15,00,00,1.59716
2022,01,03,15,30,00,0.37754
2022,01,03,16,00,00,0.0799
2022,01,03,16,30,00,-0.07495
2022,01,03,17,00,00,0.07056
2022,01,03,17,30,00,0.13228
2022,01,03,18,00,00,0.04344
2022,01,03,18,30,00,-0.01837
2022,01,03,19,00,00,0.12582
2022,01,03,19,30,00,0.2038
2022,01,03,20,00,00,0.16319
2022,01,03,20,30,00,0.1825
2022,01,03,21,00,00,0.31387
2022,01,03,21,30,00,0.2971
2022,01,03,22,00,00,0.41368
2022,01,03,22,30,00,0.4477
2022,01,03,23,00,00,0.42741
2022,01,03,23,30,00,0.349
2022,01,04,00,00,00,0.48111
2022,01,04,00,30,00,0.42425
2022,01,04,01,00,00,0.44738
2022,01,04,01,30,00,0.5625
2022,01,04,02,00,00,0.80021
2022,01,04,02,30,00,0.62735
2022,01,04,03,00,00,0.43349
2022,01,04,03,30,00,0.83998
2022,01,04,04,00,00,0.38021
2022,01,04,04,30,00,0.38474
2022,01,04,05,00,00,0.61116
2022,01,04,05,30,00,0.64971
2022,01,04,06,00,00,0.70958
2022,01,04,06,30,00,0.57241
2022,01,04,07,00,00,0.71118
2022,01,04,07,30,00,0.66606
2022,01,04,08,00,00,0.56339
2022,01,04,08,30,00,0.78351
2022,01,04,09,00,00,1.01108
2022,01,04,09,30,00,3.68815
2022,01,04,10,00,00,6.79275
2022,01,04,10,30,00,13.66685
2022,01,04,11,00,00,17.54967
2022,01,04,11,30,00,26.3413
2022,01,04,12,00,00,17.96976
2022,01,04,12,30,00,20.27865
2022,01,04,13,00,00,17.62175
2022,01,04,13,30,00,22.76765
2022,01,04,14,00,00,11.25844
2022,01,04,14,30,00,12.08205
2022,01,04,15,00,00,5.16751
2022,01,04,15,30,00,0.80993
2022,01,04,16,00,00,-0.3037
2022,01,04,16,30,00,-0.28978
2022,01,04,17,00,00,-1.23013
2022,01,04,17,30,00,-1.37639
2022,01,04,18,00,00,-1.33512
2022,01,04,18,30,00,-1.60069
2022,01,04,19,00,00,-0.56486
2022,01,04,19,30,00,-0.71627
2022,01,04,20,00,00,-0.46526
2022,01,04,20,30,00,-0.51343
2022,01,04,21,00,00,-0.07364
2022,01,04,21,30,00,-0.84537
2022,01,04,22,00,00,-0.93744
2022,01,04,22,30,00,-0.14315
2022,01,04,23,00,00,-0.26448
2022,01,04,23,30,00,-0.07359
2022,01,05,00,00,00,0.84122
2022,01,05,00,30,00,0.91133
2022,01,05,01,00,00,0.501
2022,01,05,01,30,00,1.29715
2022,01,05,02,00,00,1.51599
2022,01,05,02,30,00,1.09499
2022,01,05,03,00,00,1.64621
2022,01,05,03,30,00,1.6127
2022,01,05,04,00,00,1.62
2022,01,05,04,30,00,1.32842
2022,01,05,05,00,00,1.34365
2022,01,05,05,30,00,0.88034
2022,01,05,06,00,00,1.6653
2022,01,05,06,30,00,1.99354
2022,01,05,07,00,00,1.80949
2022,01,05,07,30,00,1.50427
2022,01,05,08,00,00,1.86834
2022,01,05,08,30,00,1.65871
2022,01,05,09,00,00,2.34522
2022,01,05,09,30,00,4.53203
2022,01,05,10,00,00,7.72504
2022,01,05,10,30,00,16.00818
2022,01,05,11,00,00,35.78375
2022,01,05,11,30,00,44.53058
2022,01,05,12,00,00,44.35298
2022,01,05,12,30,00,31.27046
2022,01,05,13,00,00,22.84365
2022,01,05,13,30,00,19.52633
2022,01,05,14,00,00,15.31355
2022,01,05,14,30,00,8.23465
2022,01,05,15,00,00,2.71542
2022,01,05,15,30,00,2.53902
2022,01,05,16,00,00,-1.48977
2022,01,05,16,30,00,-0.72849
2022,01,05,17,00,00,-0.78491
2022,01,05,17,30,00,-0.46131
2022,01,05,18,00,00,-4.66371
2022,01,05,18,30,00,-4.36715
2022,01,05,19,00,00,-1.48162
2022,01,05,19,30,00,1.99501
2022,01,05,20,00,00,-4.92464
2022,01,05,20,30,00,-14.34166
2022,01,05,21,00,00,-14.6047
2022,01,05,21,30,00,-3.81243
2022,01,05,22,00,00,-1.59522
2022,01,05,22,30,00,-3.60822
2022,01,05,23,00,00,-3.09587
2022,01,05,23,30,00,-0.19852
2022,01,06,00,00,00,3.19889
2022,01,06,00,30,00,3.53324
2022,01,06,01,00,00,4.17707
2022,01,06,01,30,00,3.7885
2022,01,06,02,00,00,2.63459
2022,01,06,02,30,00,1.92261
2022,01,06,03,00,00,2.85548
2022,01,06,03,30,00,2.94818
2022,01,06,04,00,00,1.25176
2022,01,06,04,30,00,1.20408
2022,01,06,05,00,00,1.62291
2022,01,06,05,30,00,2.30359
2022,01,06,06,00,00,-0.15447
2022,01,06,06,30,00,1.88173
2022,01,06,07,00,00,-0.71769
2022,01,06,07,30,00,0.50882
2022,01,06,08,00,00,0.15063
2022,01,06,08,30,00,-0.20733
2022,01,06,09,00,00,-0.12417
2022,01,06,09,30,00,2.75307
2022,01,06,10,00,00,7.33833
2022,01,06,10,30,00,25.21665
2022,01,06,11,00,00,42.26379
2022,01,06,11,30,00,52.7678
2022,01,06,12,00,00,45.61622
2022,01,06,12,30,00,40.63371
2022,01,06,13,00,00,39.73301
2022,01,06,13,30,00,51.843
2022,01,06,14,00,00,35.08203
2022,01,06,14,30,00,20.80667
2022,01,06,15,00,00,4.76598
2022,01,06,15,30,00,-1.59543
2022,01,06,16,00,00,-4.42391
2022,01,06,16,30,00,-4.44408
2022,01,06,17,00,00,-3.45529
2022,01,06,17,30,00,-1.93218
2022,01,06,18,00,00,-1.91391
2022,01,06,18,30,00,0.37852
2022,01,06,19,00,00,-0.74779
2022,01,06,19,30,00,-0.81971
2022,01,06,20,00,00,-1.61709
2022,01,06,20,30,00,-1.15545
2022,01,06,21,00,00,-0.96642
2022,01,06,21,30,00,-1.26757
2022,01,06,22,00,00,0.89289
2022,01,06,22,30,00,0.95971
2022,01,06,23,00,00,-1.39619
2022,01,06,23,30,00,-3.42669
2022,01,07,00,00,00,-1.36454
2022,01,07,00,30,00,-0.26115
2022,01,07,01,00,00,-4.16111
2022,01,07,01,30,00,-1.73002
2022,01,07,02,00,00,-1.13237
2022,01,07,02,30,00,-0.55041
2022,01,07,03,00,00,-1.30192
2022,01,07,03,30,00,-0.53679
2022,01,07,04,00,00,0.55711
2022,01,07,04,30,00,0.16603
2022,01,07,05,00,00,1.59919
2022,01,07,05,30,00,1.04447
2022,01,07,06,00,00,0.29785
2022,01,07,06,30,00,0.88525
2022,01,07,07,00,00,1.19324
2022,01,07,07,30,00,0.16333
2022,01,07,08,00,00,0.78565
2022,01,07,08,30,00,-1.63766
2022,01,07,09,00,00,-0.29192
2022,01,07,09,30,00,8.41988
2022,01,07,10,00,00,28.18436
2022,01,07,10,30,00,47.78791
2022,01,07,11,00,00,63.18548
2022,01,07,11,30,00,63.10299
2022,01,07,12,00,00,52.13718
2022,01,07,12,30,00,37.51038
2022,01,07,13,00,00,31.40855
2022,01,07,13,30,00,25.07304
2022,01,07,14,00,00,13.23438
2022,01,07,14,30,00,10.42035
2022,01,07,15,00,00,2.00504
2022,01,07,15,30,00,-2.52926
2022,01,07,16,00,00,-1.10736
2022,01,07,16,30,00,-1.04993
2022,01,07,17,00,00,-1.53369
2022,01,07,17,30,00,-1.6482
2022,01,07,18,00,00,-1.54172
2022,01,07,18,30,00,-0.44971
2022,01,07,19,00,00,-3.66688
2022,01,07,19,30,00,-1.74869
2022,01,07,20,00,00,-3.87884
2022,01,07,20,30,00,-2.00667
2022,01,07,21,00,00,-1.81586
2022,01,07,21,30,00,-2.45951
2022,01,07,22,00,00,-2.31552
2022,01,07,22,30,00,-2.63213
2022,01,07,23,00,00,-2.90426
2022,01,07,23,30,00,-2.69445
2022,01,08,00,00,00,0.06819
2022,01,08,00,30,00,-0.50355
2022,01,08,01,00,00,-1.85035
2022,01,08,01,30,00,-0.73024
2022,01,08,02,00,00,-0.86348
2022,01,08,02,30,00,-1.2835
2022,01,08,03,00,00,-1.0472
2022,01,08,03,30,00,-2.15453
2022,01,08,04,00,00,-1.11732
2022,01,08,04,30,00,-1.63459
2022,01,08,05,00,00,-2.01278
2022,01,08,05,30,00,-1.81879
2022,01,08,06,00,00,-1.82543
2022,01,08,06,30,00,1.87459
2022,01,08,07,00,00,-0.88529
2022,01,08,07,30,00,-1.70464
2022,01,08,08,00,00,-1.56346
2022,01,08,08,30,00,-1.27324
2022,01,08,09,00,00,1.95382
2022,01,08,09,30,00,8.39375
2022,01,08,10,00,00,14.96481
2022,01,08,10,30,00,23.08822
2022,01,08,11,00,00,49.47563
2022,01,08,11,30,00,77.02925
2022,01,08,12,00,00,65.34396
2022,01,08,12,30,00,44.46492
2022,01,08,13,00,00,29.73633
2022,01,08,13,30,00,21.91218
2022,01,08,14,00,00,16.68681
2022,01,08,14,30,00,13.1249
2022,01,08,15,00,00,10.14405
2022,01,08,15,30,00,5.82806
2022,01,08,16,00,00,6.58408
2022,01,08,16,30,00,5.35468
2022,01,08,17,00,00,5.33511
2022,01,08,17,30,00,4.53018
2022,01,08,18,00,00,5.17602
2022,01,08,18,30,00,6.156
2022,01,08,19,00,00,5.60377
2022,01,08,19,30,00,6.45845
2022,01,08,20,00,00,6.06119
2022,01,08,20,30,00,5.57653
2022,01,08,21,00,00,5.67227
2022,01,08,21,30,00,4.48852
2022,01,08,22,00,00,4.01713
2022,01,08,22,30,00,3.18621
2022,01,08,23,00,00,4.28775
2022,01,08,23,30,00,5.89844
2022,01,09,00,00,00,6.5463
2022,01,09,00,30,00,4.49381
2022,01,09,01,00,00,4.79932
2022,01,09,01,30,00,3.49835
2022,01,09,02,00,00,2.15462
2022,01,09,02,30,00,1.44972
2022,01,09,03,00,00,1.5712
2022,01,09,03,30,00,1.12681
2022,01,09,04,00,00,1.41959
2022,01,09,04,30,00,-0.01082
2022,01,09,05,00,00,-1.8468
2022,01,09,05,30,00,-1.2018
2022,01,09,06,00,00,-0.51554
2022,01,09,06,30,00,-1.44272
2022,01,09,07,00,00,-0.97483
2022,01,09,07,30,00,-0.75413
2022,01,09,08,00,00,-1.40206
2022,01,09,08,30,00,-0.57127
2022,01,09,09,00,00,1.66277
2022,01,09,09,30,00,4.74411
2022,01,09,10,00,00,11.81879
2022,01,09,10,30,00,22.39601
2022,01,09,11,00,00,23.73373
2022,01,09,11,30,00,31.21193
2022,01,09,12,00,00,31.40998
2022,01,09,12,30,00,27.15786
2022,01,09,13,00,00,23.04036
2022,01,09,13,30,00,21.16433
2022,01,09,14,00,00,11.35866
2022,01,09,14,30,00,7.64715
2022,01,09,15,00,00,1.32875
2022,01,09,15,30,00,0.51953
2022,01,09,16,00,00,-0.59955
2022,01,09,16,30,00,0.62258
2022,01,09,17,00,00,-2.92246
2022,01,09,17,30,00,-1.30409
2022,01,09,18,00,00,1.64429
2022,01,09,18,30,00,-2.82623
2022,01,09,19,00,00,0.16927
2022,01,09,19,30,00,-1.20458
2022,01,09,20,00,00,1.51608
2022,01,09,20,30,00,0.77147
2022,01,09,21,00,00,-0.9651
2022,01,09,21,30,00,-0.78578
2022,01,09,22,00,00,-0.06781
2022,01,09,22,30,00,1.13371
2022,01,09,23,00,00,-1.05573
2022,01,09,23,30,00,2.46012
2022,01,10,00,00,00,-1.88028
2022,01,10,00,30,00,-4.306
2022,01,10,01,00,00,-2.20555
2022,01,10,01,30,00,-5.36226
2022,01,10,02,00,00,-3.28298
2022,01,10,02,30,00,0.42252
2022,01,10,03,00,00,0.0293
2022,01,10,03,30,00,-3.85476
2022,01,10,04,00,00,-3.84694
2022,01,10,04,30,00,0.25036
2022,01,10,05,00,00,-1.33437
2022,01,10,05,30,00,0.42304
2022,01,10,06,00,00,1.50738
2022,01,10,06,30,00,-2.08191
2022,01,10,07,00,00,0.7875
2022,01,10,07,30,00,1.37247
2022,01,10,08,00,00,-1.61923
2022,01,10,08,30,00,-1.07954
2022,01,10,09,00,00,4.63514
2022,01,10,09,30,00,14.97018
2022,01,10,10,00,00,30.20502
2022,01,10,10,30,00,55.04618
2022,01,10,11,00,00,80.38867
2022,01,10,11,30,00,99.00213
2022,01,10,12,00,00,104.22137
2022,01,10,12,30,00,100.62194
2022,01,10,13,00,00,94.22348
2022,01,10,13,30,00,79.31164
2022,01,10,14,00,00,54.81284
2022,01,10,14,30,00,29.11396
2022,01,10,15,00,00,11.45135
2022,01,10,15,30,00,-5.20796
2022,01,10,16,00,00,-5.17055
2022,01,10,16,30,00,-7.04769
2022,01,10,17,00,00,-8.09439
2022,01,10,17,30,00,-5.06086
2022,01,10,18,00,00,-7.09736
2022,01,10,18,30,00,-7.15032
2022,01,10,19,00,00,-3.26511
2022,01,10,19,30,00,0.35801
2022,01,10,20,00,00,-0.14788
2022,01,10,20,30,00,3.16219
2022,01,10,21,00,00,3.72705
