Year,Month,Day,Hour,Minute,Second,HYY_META.RHTd
2022,01,01,00,00,00,96.42267
2022,01,01,00,30,00,96.40003
2022,01,01,01,00,00,96.25728
2022,01,01,01,30,00,96.00992
2022,01,01,02,00,00,95.79414
2022,01,01,02,30,00,95.76639
2022,01,01,03,00,00,95.04478
2022,01,01,03,30,00,91.51517
2022,01,01,04,00,00,90.64853
2022,01,01,04,30,00,91.39617
2022,01,01,05,00,00,91.65278
2022,01,01,05,30,00,92.41278
2022,01,01,06,00,00,92.16322
2022,01,01,06,30,00,92.97764
2022,01,01,07,00,00,92.38869
2022,01,01,07,30,00,90.37608
2022,01,01,08,00,00,90.97328
2022,01,01,08,30,00,92.81575
2022,01,01,09,00,00,93.38558
2022,01,01,09,30,00,93.32381
2022,01,01,10,00,00,92.73058
2022,01,01,10,30,00,92.27881
2022,01,01,11,00,00,92.41789
2022,01,01,11,30,00,92.94783
2022,01,01,12,00,00,93.54964
2022,01,01,12,30,00,93.48961
2022,01,01,13,00,00,93.80883
2022,01,01,13,30,00,93.38508
2022,01,01,14,00,00,93.20119
2022,01,01,14,30,00,92.95369
2022,01,01,15,00,00,93.08431
2022,01,01,15,30,00,93.18217
2022,01,01,16,00,00,93.27481
2022,01,01,16,30,00,93.84747
2022,01,01,17,00,00,93.78503
2022,01,01,17,30,00,93.49242
2022,01,01,18,00,00,93.63767
2022,01,01,18,30,00,93.71975
2022,01,01,19,00,00,93.75772
2022,01,01,19,30,00,93.71428
2022,01,01,20,00,00,93.70253
2022,01,01,20,30,00,94.06025
2022,01,01,21,00,00,93.97753
2022,01,01,21,30,00,93.90244
2022,01,01,22,00,00,93.8675
2022,01,01,22,30,00,93.78142
2022,01,01,23,00,00,93.279
2022,01,01,23,30,00,92.84586
2022,01,02,00,00,00,92.38653
2022,01,02,00,30,00,92.08864
2022,01,02,01,00,00,92.90519
2022,01,02,01,30,00,92.76764
2022,01,02,02,00,00,93.12461
2022,01,02,02,30,00,92.35153
2022,01,02,03,00,00,92.07553
2022,01,02,03,30,00,91.22258
2022,01,02,04,00,00,91.05231
2022,01,02,04,30,00,91.03844
2022,01,02,05,00,00,91.00828
2022,01,02,05,30,00,91.20156
2022,01,02,06,00,00,91.54258
2022,01,02,06,30,00,91.76172
2022,01,02,07,00,00,91.83844
2022,01,02,07,30,00,91.6895
2022,01,02,08,00,00,92.26278
2022,01,02,08,30,00,92.47256
2022,01,02,09,00,00,92.30017
2022,01,02,09,30,00,92.35694
2022,01,02,10,00,00,92.72542
2022,01,02,10,30,00,92.90881
2022,01,02,11,00,00,93.25617
2022,01,02,11,30,00,93.53464
2022,01,02,12,00,00,93.82714
2022,01,02,12,30,00,94.13306
2022,01,02,13,00,00,94.43514
2022,01,02,13,30,00,94.95744
2022,01,02,14,00,00,95.28625
2022,01,02,14,30,00,95.48353
2022,01,02,15,00,00,95.59694
2022,01,02,15,30,00,95.64458
2022,01,02,16,00,00,95.65325
2022,01,02,16,30,00,95.71325
2022,01,02,17,00,00,95.78239
2022,01,02,17,30,00,95.82925
2022,01,02,18,00,00,95.91739
2022,01,02,18,30,00,95.83561
2022,01,02,19,00,00,95.7067
2022,01,02,19,30,00,95.68394
2022,01,02,20,00,00,95.70333
2022,01,02,20,30,00,95.71267
2022,01,02,21,00,00,95.7053
2022,01,02,21,30,00,95.73914
2022,01,02,22,00,00,95.75303
2022,01,02,22,30,00,95.74722
2022,01,02,23,00,00,95.76947
2022,01,02,23,30,00,95.7843
2022,01,03,00,00,00,95.78892
2022,01,03,00,30,00,95.81472
2022,01,03,01,00,00,95.79328
2022,01,03,01,30,00,95.76808
2022,01,03,02,00,00,95.75572
2022,01,03,02,30,00,95.64297
2022,01,03,03,00,00,95.65669
2022,01,03,03,30,00,95.66764
2022,01,03,04,00,00,95.62153
2022,01,03,04,30,00,95.5417
2022,01,03,05,00,00,95.46283
2022,01,03,05,30,00,95.35283
2022,01,03,06,00,00,95.28031
2022,01,03,06,30,00,95.25261
2022,01,03,07,00,00,95.44117
2022,01,03,07,30,00,95.30944
2022,01,03,08,00,00,95.11919
2022,01,03,08,30,00,95.21114
2022,01,03,09,00,00,95.40364
2022,01,03,09,30,00,95.4758
2022,01,03,10,00,00,95.42156
2022,01,03,10,30,00,95.35522
2022,01,03,11,00,00,95.39094
2022,01,03,11,30,00,95.62075
2022,01,03,12,00,00,95.76492
2022,01,03,12,30,00,95.78058
2022,01,03,13,00,00,95.70833
2022,01,03,13,30,00,95.63669
2022,01,03,14,00,00,95.60614
2022,01,03,14,30,00,95.57714
2022,01,03,15,00,00,95.59878
2022,01,03,15,30,00,95.56058
2022,01,03,16,00,00,95.4873
2022,01,03,16,30,00,95.46247
2022,01,03,17,00,00,95.47508
2022,01,03,17,30,00,95.51467
2022,01,03,18,00,00,95.51633
2022,01,03,18,30,00,95.52856
2022,01,03,19,00,00,95.50183
2022,01,03,19,30,00,95.49206
2022,01,03,20,00,00,95.47008
2022,01,03,20,30,00,95.45956
2022,01,03,21,00,00,95.42397
2022,01,03,21,30,00,95.37197
2022,01,03,22,00,00,95.31917
2022,01,03,22,30,00,95.30919
2022,01,03,23,00,00,95.31992
2022,01,03,23,30,00,95.29994
2022,01,04,00,00,00,95.27789
2022,01,04,00,30,00,95.28033
2022,01,04,01,00,00,95.31069
2022,01,04,01,30,00,95.31756
2022,01,04,02,00,00,95.30578
2022,01,04,02,30,00,95.31969
2022,01,04,03,00,00,95.32225
2022,01,04,03,30,00,95.3218
2022,01,04,04,00,00,95.28386
2022,01,04,04,30,00,95.29439
2022,01,04,05,00,00,95.32514
2022,01,04,05,30,00,95.35236
2022,01,04,06,00,00,95.37075
2022,01,04,06,30,00,95.36064
2022,01,04,07,00,00,95.34644
2022,01,04,07,30,00,95.30692
2022,01,04,08,00,00,95.32103
2022,01,04,08,30,00,95.3312
2022,01,04,09,00,00,95.36436
2022,01,04,09,30,00,95.41714
2022,01,04,10,00,00,95.43889
2022,01,04,10,30,00,95.47644
2022,01,04,11,00,00,95.50042
2022,01,04,11,30,00,95.50333
2022,01,04,12,00,00,95.53922
2022,01,04,12,30,00,95.60189
2022,01,04,13,00,00,95.70031
2022,01,04,13,30,00,95.74233
2022,01,04,14,00,00,95.8057
2022,01,04,14,30,00,95.88042
2022,01,04,15,00,00,95.89683
2022,01,04,15,30,00,95.94342
2022,01,04,16,00,00,95.99122
2022,01,04,16,30,00,96.04647
2022,01,04,17,00,00,96.18558
2022,01,04,17,30,00,96.23361
2022,01,04,18,00,00,96.31114
2022,01,04,18,30,00,96.45689
2022,01,04,19,00,00,96.68289
2022,01,04,19,30,00,96.8202
2022,01,04,20,00,00,96.80211
2022,01,04,20,30,00,96.85328
2022,01,04,21,00,00,96.85367
