Year,Month,Day,Hour,Minute,Second,HYY_META.Glob
2018,01,01,00,00,00,3.93797
2018,01,01,00,30,00,3.8319
2018,01,01,01,00,00,4.25029
2018,01,01,01,30,00,4.99248
2018,01,01,02,00,00,3.39678
2018,01,01,02,30,00,4.35664
2018,01,01,03,00,00,6.16521
2018,01,01,03,30,00,5.11828
2018,01,01,04,00,00,4.9292
2018,01,01,04,30,00,4.66887
2018,01,01,05,00,00,4.36325
2018,01,01,05,30,00,4.44719
2018,01,01,06,00,00,3.18544
2018,01,01,06,30,00,3.77793
2018,01,01,07,00,00,3.69607
2018,01,01,07,30,00,3.7422
2018,01,01,08,00,00,2.24852
2018,01,01,08,30,00,3.49868
2018,01,01,09,00,00,4.87553
2018,01,01,09,30,00,4.99468
2018,01,01,10,00,00,7.70622
2018,01,01,10,30,00,9.00313
2018,01,01,11,00,00,7.51413
2018,01,01,11,30,00,8.86778
2018,01,01,12,00,00,9.65433
2018,01,01,12,30,00,13.27253
2018,01,01,13,00,00,14.61825
2018,01,01,13,30,00,8.9958
2018,01,01,14,00,00,6.08684
2018,01,01,14,30,00,5.08967
2018,01,01,15,00,00,4.956
2018,01,01,15,30,00,3.53725
2018,01,01,16,00,00,2.51467
2018,01,01,16,30,00,3.14994
2018,01,01,17,00,00,3.81889
2018,01,01,17,30,00,4.14269
2018,01,01,18,00,00,4.40389
2018,01,01,18,30,00,3.18268
2018,01,01,19,00,00,2.76702
2018,01,01,19,30,00,3.23349
2018,01,01,20,00,00,2.60385
2018,01,01,20,30,00,3.70195
2018,01,01,21,00,00,1.59119
2018,01,01,21,30,00,0.97273
2018,01,01,22,00,00,0.58765
2018,01,01,22,30,00,1.80916
2018,01,01,23,00,00,3.13089
2018,01,01,23,30,00,1.53709
2018,01,02,00,00,00,2.67355
2018,01,02,00,30,00,2.00645
2018,01,02,01,00,00,3.05627
2018,01,02,01,30,00,2.63449
2018,01,02,02,00,00,2.98075
2018,01,02,02,30,00,5.68103
2018,01,02,03,00,00,5.64906
2018,01,02,03,30,00,3.67578
2018,01,02,04,00,00,5.43991
2018,01,02,04,30,00,6.02596
2018,01,02,05,00,00,4.48619
2018,01,02,05,30,00,3.95033
2018,01,02,06,00,00,5.07959
2018,01,02,06,30,00,6.98068
2018,01,02,07,00,00,6.03872
2018,01,02,07,30,00,5.99446
2018,01,02,08,00,00,3.95598
2018,01,02,08,30,00,0.62091
2018,01,02,09,00,00,-1.05846
2018,01,02,09,30,00,1.65117
2018,01,02,10,00,00,4.62923
2018,01,02,10,30,00,6.08175
2018,01,02,11,00,00,16.58895
2018,01,02,11,30,00,27.76181
2018,01,02,12,00,00,28.07553
2018,01,02,12,30,00,32.74156
2018,01,02,13,00,00,17.94172
2018,01,02,13,30,00,12.77163
2018,01,02,14,00,00,4.41085
2018,01,02,14,30,00,1.34147
2018,01,02,15,00,00,1.33695
2018,01,02,15,30,00,-3.01867
2018,01,02,16,00,00,-1.59271
2018,01,02,16,30,00,-1.21275
2018,01,02,17,00,00,0.23767
2018,01,02,17,30,00,2.79018
2018,01,02,18,00,00,4.1844
2018,01,02,18,30,00,3.80468
2018,01,02,19,00,00,3.9963
2018,01,02,19,30,00,5.81955
2018,01,02,20,00,00,5.09732
2018,01,02,20,30,00,4.42162
2018,01,02,21,00,00,6.06767
2018,01,02,21,30,00,3.57632
2018,01,02,22,00,00,2.4238
2018,01,02,22,30,00,5.00693
2018,01,02,23,00,00,2.51619
2018,01,02,23,30,00,6.81047
2018,01,03,00,00,00,5.44156
2018,01,03,00,30,00,4.56884
2018,01,03,01,00,00,2.25659
2018,01,03,01,30,00,4.01741
2018,01,03,02,00,00,4.71354
2018,01,03,02,30,00,5.57992
2018,01,03,03,00,00,5.07459
2018,01,03,03,30,00,3.42972
2018,01,03,04,00,00,5.95754
2018,01,03,04,30,00,4.2171
2018,01,03,05,00,00,3.30266
2018,01,03,05,30,00,4.1558
2018,01,03,06,00,00,0.58348
2018,01,03,06,30,00,1.41241
2018,01,03,07,00,00,3.33522
2018,01,03,07,30,00,4.53478
2018,01,03,08,00,00,2.76049
2018,01,03,08,30,00,4.08582
2018,01,03,09,00,00,3.87664
2018,01,03,09,30,00,5.93231
2018,01,03,10,00,00,11.30708
2018,01,03,10,30,00,16.47934
2018,01,03,11,00,00,26.14396
2018,01,03,11,30,00,27.94093
2018,01,03,12,00,00,27.67359
2018,01,03,12,30,00,26.62777
2018,01,03,13,00,00,27.74466
