Year,Month,Day,Hour,Minute,Second,HYY_META.UV_B
2018,01,01,00,00,00,-0.00081
2018,01,01,00,30,00,-0.00079
2018,01,01,01,00,00,-0.00076
2018,01,01,01,30,00,-0.00078
2018,01,01,02,00,00,-0.00079
2018,01,01,02,30,00,-0.00077
2018,01,01,03,00,00,-0.00081
2018,01,01,03,30,00,-0.00084
2018,01,01,04,00,00,-0.0008
2018,01,01,04,30,00,-0.00082
2018,01,01,05,00,00,-0.00079
2018,01,01,05,30,00,-0.00084
2018,01,01,06,00,00,-0.00078
2018,01,01,06,30,00,-0.00078
2018,01,01,07,00,00,-0.00083
2018,01,01,07,30,00,-0.00084
2018,01,01,08,00,00,-0.00084
2018,01,01,08,30,00,-0.00081
2018,01,01,09,00,00,-0.00049
2018,01,01,09,30,00,0.00068
2018,01,01,10,00,00,0.0034
2018,01,01,10,30,00,0.00466
2018,01,01,11,00,00,0.00552
2018,01,01,11,30,00,0.0056
2018,01,01,12,00,00,0.00675
2018,01,01,12,30,00,0.00817
2018,01,01,13,00,00,0.0072
2018,01,01,13,30,00,0.00366
2018,01,01,14,00,00,0.00276
2018,01,01,14,30,00,0.00149
2018,01,01,15,00,00,0.00019
2018,01,01,15,30,00,-0.00063
2018,01,01,16,00,00,-0.00075
2018,01,01,16,30,00,-0.00071
2018,01,01,17,00,00,-0.00068
2018,01,01,17,30,00,-0.00066
2018,01,01,18,00,00,-0.00066
2018,01,01,18,30,00,-0.00069
2018,01,01,19,00,00,-0.0007
2018,01,01,19,30,00,-0.00071
2018,01,01,20,00,00,-0.00069
2018,01,01,20,30,00,-0.0007
2018,01,01,21,00,00,-0.00073
2018,01,01,21,30,00,-0.00073
2018,01,01,22,00,00,-0.00072
2018,01,01,22,30,00,-0.0007
2018,01,01,23,00,00,-0.00069
2018,01,01,23,30,00,-0.00067
2018,01,02,00,00,00,-0.00075
2018,01,02,00,30,00,-0.00073
2018,01,02,01,00,00,-0.00076
2018,01,02,01,30,00,-0.00075
2018,01,02,02,00,00,-0.00072
2018,01,02,02,30,00,-0.00075
2018,01,02,03,00,00,-0.00071
2018,01,02,03,30,00,-0.00071
2018,01,02,04,00,00,-0.00069
2018,01,02,04,30,00,-0.00072
2018,01,02,05,00,00,-0.00078
2018,01,02,05,30,00,-0.00073
2018,01,02,06,00,00,-0.00072
2018,01,02,06,30,00,-0.00073
2018,01,02,07,00,00,-0.00072
2018,01,02,07,30,00,-0.0007
2018,01,02,08,00,00,-0.00071
2018,01,02,08,30,00,-0.00072
2018,01,02,09,00,00,-0.0005
2018,01,02,09,30,00,0.00127
2018,01,02,10,00,00,0.00274
2018,01,02,10,30,00,0.00557
2018,01,02,11,00,00,0.00874
2018,01,02,11,30,00,0.01341
2018,01,02,12,00,00,0.01208
2018,01,02,12,30,00,0.01207
2018,01,02,13,00,00,0.00875
2018,01,02,13,30,00,0.00656
2018,01,02,14,00,00,0.0047
2018,01,02,14,30,00,0.00236
2018,01,02,15,00,00,0.00039
2018,01,02,15,30,00,-0.00061
2018,01,02,16,00,00,-0.00075
2018,01,02,16,30,00,-0.00073
2018,01,02,17,00,00,-0.00073
2018,01,02,17,30,00,-0.00072
2018,01,02,18,00,00,-0.00075
2018,01,02,18,30,00,-0.00078
2018,01,02,19,00,00,-0.00078
2018,01,02,19,30,00,-0.00081
2018,01,02,20,00,00,-0.00082
2018,01,02,20,30,00,-0.00081
2018,01,02,21,00,00,-0.0008
2018,01,02,21,30,00,-0.00075
2018,01,02,22,00,00,-0.00068
2018,01,02,22,30,00,-0.00072
2018,01,02,23,00,00,-0.00077
2018,01,02,23,30,00,-0.00074
2018,01,03,00,00,00,-0.0008
2018,01,03,00,30,00,-0.0008
2018,01,03,01,00,00,-0.00079
2018,01,03,01,30,00,-0.00075
2018,01,03,02,00,00,-0.00074
2018,01,03,02,30,00,-0.00075
2018,01,03,03,00,00,-0.00077
2018,01,03,03,30,00,-0.00072
2018,01,03,04,00,00,-0.00073
2018,01,03,04,30,00,-0.00077
2018,01,03,05,00,00,-0.00077
2018,01,03,05,30,00,-0.00076
2018,01,03,06,00,00,-0.00078
2018,01,03,06,30,00,-0.00078
2018,01,03,07,00,00,-0.0008
2018,01,03,07,30,00,-0.00075
2018,01,03,08,00,00,-0.00075
2018,01,03,08,30,00,-0.00071
2018,01,03,09,00,00,-0.0004
2018,01,03,09,30,00,0.00111
2018,01,03,10,00,00,0.00463
2018,01,03,10,30,00,0.00822
2018,01,03,11,00,00,0.01218
2018,01,03,11,30,00,0.01516
2018,01,03,12,00,00,0.01491
2018,01,03,12,30,00,0.01456
2018,01,03,13,00,00,0.01501
2018,01,03,13,30,00,0.01165
2018,01,03,14,00,00,0.00629
2018,01,03,14,30,00,0.00366
2018,01,03,15,00,00,0.00083
2018,01,03,15,30,00,-0.00038
2018,01,03,16,00,00,-0.00064
2018,01,03,16,30,00,-0.00065
2018,01,03,17,00,00,-0.00066
2018,01,03,17,30,00,-0.00064
2018,01,03,18,00,00,-0.00062
2018,01,03,18,30,00,-0.00064
2018,01,03,19,00,00,-0.00065
2018,01,03,19,30,00,-0.00061
2018,01,03,20,00,00,-0.00063
2018,01,03,20,30,00,-0.00063
2018,01,03,21,00,00,-0.00063
2018,01,03,21,30,00,-0.00062
2018,01,03,22,00,00,-0.00063
2018,01,03,22,30,00,-0.00065
2018,01,03,23,00,00,-0.00067
2018,01,03,23,30,00,-0.00069
2018,01,04,00,00,00,-0.00071
2018,01,04,00,30,00,-0.00073
2018,01,04,01,00,00,-0.00074
2018,01,04,01,30,00,-0.00079
2018,01,04,02,00,00,-0.00082
2018,01,04,02,30,00,-0.00083
2018,01,04,03,00,00,-0.00082
2018,01,04,03,30,00,-0.0008
2018,01,04,04,00,00,-0.00079
2018,01,04,04,30,00,-0.0008
2018,01,04,05,00,00,-0.00082
2018,01,04,05,30,00,-0.00081
2018,01,04,06,00,00,-0.00084
2018,01,04,06,30,00,-0.00079
2018,01,04,07,00,00,-0.0008
2018,01,04,07,30,00,-0.00079
2018,01,04,08,00,00,-0.00079
2018,01,04,08,30,00,-0.00077
2018,01,04,09,00,00,-0.00021
2018,01,04,09,30,00,0.00241
2018,01,04,10,00,00,0.00575
2018,01,04,10,30,00,0.00745
2018,01,04,11,00,00,0.00825
2018,01,04,11,30,00,0.00705
2018,01,04,12,00,00,0.00764
2018,01,04,12,30,00,0.00652
2018,01,04,13,00,00,0.00424
2018,01,04,13,30,00,0.00612
2018,01,04,14,00,00,0.00544
2018,01,04,14,30,00,0.0033
2018,01,04,15,00,00,0.00113
2018,01,04,15,30,00,-0.00054
2018,01,04,16,00,00,-0.00079
2018,01,04,16,30,00,-0.00081
2018,01,04,17,00,00,-0.00081
2018,01,04,17,30,00,-0.0008
2018,01,04,18,00,00,-0.00079
2018,01,04,18,30,00,-0.0008
2018,01,04,19,00,00,-0.00079
2018,01,04,19,30,00,-0.0008
2018,01,04,20,00,00,-0.00084
2018,01,04,20,30,00,-0.00083
2018,01,04,21,00,00,-0.0008
2018,01,04,21,30,00,-0.00082
2018,01,04,22,00,00,-0.00083
2018,01,04,22,30,00,-0.00082
2018,01,04,23,00,00,-0.00082
2018,01,04,23,30,00,-0.00085
2018,01,05,00,00,00,-0.00079
2018,01,05,00,30,00,-0.00077
2018,01,05,01,00,00,-0.00078
2018,01,05,01,30,00,-0.00078
2018,01,05,02,00,00,-0.0008
2018,01,05,02,30,00,-0.0008
2018,01,05,03,00,00,-0.00079
2018,01,05,03,30,00,-0.00079
2018,01,05,04,00,00,-0.00079
2018,01,05,04,30,00,-0.00082
2018,01,05,05,00,00,-0.00084
