Year,Month,Day,Hour,Minute,Second,HYY_META.Pamb0
2022,01,01,00,00,00,980.75767
2022,01,01,00,30,00,981.05233
2022,01,01,01,00,00,981.4
2022,01,01,01,30,00,981.76
2022,01,01,02,00,00,982.222
2022,01,01,02,30,00,982.67533
2022,01,01,03,00,00,983.08233
2022,01,01,03,30,00,983.471
2022,01,01,04,00,00,983.97233
2022,01,01,04,30,00,984.46833
2022,01,01,05,00,00,984.881
2022,01,01,05,30,00,985.28533
2022,01,01,06,00,00,985.98733
2022,01,01,06,30,00,986.687
2022,01,01,07,00,00,987.202
2022,01,01,07,30,00,987.746
2022,01,01,08,00,00,988.405
2022,01,01,08,30,00,989.00433
2022,01,01,09,00,00,989.43933
2022,01,01,09,30,00,989.84933
2022,01,01,10,00,00,990.374
2022,01,01,10,30,00,990.918
2022,01,01,11,00,00,991.51967
2022,01,01,11,30,00,992.04833
2022,01,01,12,00,00,992.34967
2022,01,01,12,30,00,992.71267
2022,01,01,13,00,00,993.17267
2022,01,01,13,30,00,993.591
2022,01,01,14,00,00,993.98567
2022,01,01,14,30,00,994.576
2022,01,01,15,00,00,994.96867
2022,01,01,15,30,00,995.20333
2022,01,01,16,00,00,995.39167
2022,01,01,16,30,00,995.736
2022,01,01,17,00,00,996.06433
2022,01,01,17,30,00,996.253
2022,01,01,18,00,00,996.40033
2022,01,01,18,30,00,996.54867
2022,01,01,19,00,00,996.62433
2022,01,01,19,30,00,996.78267
2022,01,01,20,00,00,996.96367
2022,01,01,20,30,00,996.919
2022,01,01,21,00,00,996.90267
2022,01,01,21,30,00,997.35067
2022,01,01,22,00,00,997.336
2022,01,01,22,30,00,997.20667
2022,01,01,23,00,00,997.20633
2022,01,01,23,30,00,997.107
2022,01,02,00,00,00,996.85133
2022,01,02,00,30,00,996.77733
2022,01,02,01,00,00,996.31633
2022,01,02,01,30,00,995.97233
2022,01,02,02,00,00,995.64933
2022,01,02,02,30,00,995.19467
2022,01,02,03,00,00,995.157
2022,01,02,03,30,00,994.72967
2022,01,02,04,00,00,994.275
2022,01,02,04,30,00,994.02867
2022,01,02,05,00,00,993.59167
2022,01,02,05,30,00,993.18533
2022,01,02,06,00,00,992.844
2022,01,02,06,30,00,992.42467
2022,01,02,07,00,00,991.78167
2022,01,02,07,30,00,991.121
2022,01,02,08,00,00,990.77967
2022,01,02,08,30,00,990.29433
2022,01,02,09,00,00,989.80133
2022,01,02,09,30,00,989.548
2022,01,02,10,00,00,989.087
2022,01,02,10,30,00,988.46367
2022,01,02,11,00,00,987.95633
2022,01,02,11,30,00,987.32767
2022,01,02,12,00,00,986.729
2022,01,02,12,30,00,985.989
2022,01,02,13,00,00,985.255
2022,01,02,13,30,00,984.712
2022,01,02,14,00,00,984.071
2022,01,02,14,30,00,983.421
2022,01,02,15,00,00,982.89067
2022,01,02,15,30,00,982.355
2022,01,02,16,00,00,981.612
2022,01,02,16,30,00,980.83133
2022,01,02,17,00,00,980.33067
2022,01,02,17,30,00,979.76167
2022,01,02,18,00,00,979.21567
2022,01,02,18,30,00,978.791
2022,01,02,19,00,00,978.38333
2022,01,02,19,30,00,978.07667
2022,01,02,20,00,00,977.64833
2022,01,02,20,30,00,977.30433
2022,01,02,21,00,00,976.879
2022,01,02,21,30,00,976.50267
2022,01,02,22,00,00,976.023
2022,01,02,22,30,00,975.54333
2022,01,02,23,00,00,975.156
2022,01,02,23,30,00,974.90967
2022,01,03,00,00,00,974.58067
2022,01,03,00,30,00,974.243
2022,01,03,01,00,00,974.117
2022,01,03,01,30,00,973.98567
2022,01,03,02,00,00,973.66467
2022,01,03,02,30,00,973.41433
2022,01,03,03,00,00,973.221
2022,01,03,03,30,00,973.05467
2022,01,03,04,00,00,972.93
2022,01,03,04,30,00,972.64633
2022,01,03,05,00,00,972.53767
2022,01,03,05,30,00,972.527
2022,01,03,06,00,00,972.43667
2022,01,03,06,30,00,972.34267
2022,01,03,07,00,00,972.18467
2022,01,03,07,30,00,972.06
2022,01,03,08,00,00,972.17433
2022,01,03,08,30,00,972.342
2022,01,03,09,00,00,972.46067
2022,01,03,09,30,00,972.55067
2022,01,03,10,00,00,972.65367
2022,01,03,10,30,00,972.876
2022,01,03,11,00,00,972.80933
2022,01,03,11,30,00,972.716
2022,01,03,12,00,00,972.65267
2022,01,03,12,30,00,972.404
2022,01,03,13,00,00,972.244
2022,01,03,13,30,00,972.24733
2022,01,03,14,00,00,972.22
2022,01,03,14,30,00,972.17133
2022,01,03,15,00,00,972.345
2022,01,03,15,30,00,972.40667
2022,01,03,16,00,00,972.43467
2022,01,03,16,30,00,972.41267
2022,01,03,17,00,00,972.25267
2022,01,03,17,30,00,972.07533
2022,01,03,18,00,00,972.14
2022,01,03,18,30,00,972.13933
2022,01,03,19,00,00,972.051
2022,01,03,19,30,00,971.99
2022,01,03,20,00,00,971.88467
2022,01,03,20,30,00,971.80967
2022,01,03,21,00,00,971.862
2022,01,03,21,30,00,971.62333
2022,01,03,22,00,00,971.63033
2022,01,03,22,30,00,971.50433
2022,01,03,23,00,00,971.46733
2022,01,03,23,30,00,971.37867
2022,01,04,00,00,00,971.311
2022,01,04,00,30,00,971.13567
2022,01,04,01,00,00,970.956
2022,01,04,01,30,00,970.781
2022,01,04,02,00,00,970.36933
2022,01,04,02,30,00,970.125
2022,01,04,03,00,00,969.954
2022,01,04,03,30,00,969.78633
2022,01,04,04,00,00,969.49033
2022,01,04,04,30,00,969.28
2022,01,04,05,00,00,969.06867
2022,01,04,05,30,00,968.59633
2022,01,04,06,00,00,968.10133
2022,01,04,06,30,00,967.82933
2022,01,04,07,00,00,967.608
2022,01,04,07,30,00,967.22733
2022,01,04,08,00,00,967.011
2022,01,04,08,30,00,966.79833
2022,01,04,09,00,00,966.57233
2022,01,04,09,30,00,966.227
2022,01,04,10,00,00,965.84267
2022,01,04,10,30,00,965.55
2022,01,04,11,00,00,965.24867
2022,01,04,11,30,00,964.99967
2022,01,04,12,00,00,964.78
2022,01,04,12,30,00,964.583
2022,01,04,13,00,00,964.31
2022,01,04,13,30,00,964.149
2022,01,04,14,00,00,964.10067
2022,01,04,14,30,00,964.11433
2022,01,04,15,00,00,964.08167
2022,01,04,15,30,00,963.951
2022,01,04,16,00,00,963.959
2022,01,04,16,30,00,963.829
2022,01,04,17,00,00,963.932
2022,01,04,17,30,00,964.001
2022,01,04,18,00,00,964.01567
2022,01,04,18,30,00,964.058
2022,01,04,19,00,00,963.99767
2022,01,04,19,30,00,964.022
2022,01,04,20,00,00,964.109
2022,01,04,20,30,00,963.97667
2022,01,04,21,00,00,964.03067
2022,01,04,21,30,00,964.12133
2022,01,04,22,00,00,964.20833
2022,01,04,22,30,00,964.23733
2022,01,04,23,00,00,964.32533
2022,01,04,23,30,00,964.25467
2022,01,05,00,00,00,964.069
2022,01,05,00,30,00,963.95967
2022,01,05,01,00,00,963.81367
2022,01,05,01,30,00,963.78733
2022,01,05,02,00,00,963.693
2022,01,05,02,30,00,963.51067
2022,01,05,03,00,00,963.38167
2022,01,05,03,30,00,963.39433
2022,01,05,04,00,00,963.438
2022,01,05,04,30,00,963.44967
2022,01,05,05,00,00,963.41933
2022,01,05,05,30,00,963.48033
2022,01,05,06,00,00,963.474
2022,01,05,06,30,00,963.436
2022,01,05,07,00,00,963.472
2022,01,05,07,30,00,963.46667
2022,01,05,08,00,00,963.542
2022,01,05,08,30,00,963.62767
2022,01,05,09,00,00,963.69867
2022,01,05,09,30,00,963.86
2022,01,05,10,00,00,963.85167
2022,01,05,10,30,00,963.82033
2022,01,05,11,00,00,963.873
2022,01,05,11,30,00,963.89733
2022,01,05,12,00,00,963.923
2022,01,05,12,30,00,964.045
2022,01,05,13,00,00,964.17267
2022,01,05,13,30,00,964.03467
2022,01,05,14,00,00,964.025
